"","logSFR_total","ID","logM_total","M_total","sSFR","logSFR_pred","logSFR_pred_sigma","t_sf_up","t_sf_sigma_up","tau_up","tau_sigma_up","A_up","A_sigma_up","x_up","x_sigma_up","diff","flag"
"1",-0.0659999996423721,1,10.7721996307373,59183361790.124,1.4514442847282e-11,-0.0497768569052182,0.100616284767809,10.7866709354545,2.05881348637496,1.97819611454545,0.489453699674571,79114518551.5152,1069670501.34969,5.54656585909091,0.460099969007722,0.016223142737154,"Keep"
"2",-3.91698914048348,2,8.02381385238372,105636463.238837,1.14603269341832e-12,-3.90543568757576,0.0986703374157396,11.6965556857576,1.31827181247637,1.31288288878788,0.171581313783728,137505285.787879,1043949.6951003,8.93422827242424,0.315834957738687,0.011553452907719,"Keep"
"3",-1.38900005817413,3,8.24479961395264,175711268.46848,2.32380845689015e-10,-1.39991281151515,0.0955867720996094,8.60847916393939,1.92878246957023,12.1030704133333,4.99655409980588,1531166892.45455,887724012.437405,0.861954393181818,0.430778979941718,-0.0109127533410183,"Keep"
"4",-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304e-10,-3.26462908575758,0.100231770615176,4.45838109727273,1.01778965662797,11.7071864657576,5.1373721491065,29067534.1045455,22076169.5212023,0.492813344939394,0.312736061162127,-0.0163903605295967,"Keep"
"5",-1.51057887136899,5,8.77381385238372,594037487.261491,5.19525987169304e-11,-1.47863965484848,0.103862718675576,10.7823919530303,2.29816394942116,3.40527083424242,1.24495795676086,935503148.151515,110467788.654779,3.38014306960606,0.636138206758331,0.0319392165205044,"Keep"
"6",-1.98018926331852,6,10.3303003311157,21394410827.5388,4.8922698672612e-13,-1.96720880787879,0.0988818857842509,12.1054408909091,1.04583105924833,1.21701181515152,0.120385352568802,27827709457.5758,213369878.234191,9.96261297212121,0.294324357943068,0.0129804554397326,"Keep"
"7",-3.66767825793574,7,7.97381385238372,94148596.9627445,2.28301039897797e-12,-3.65569728575758,0.098925352798662,11.4269895775758,1.52275635720328,1.4229518069697,0.224194432897895,122753618.454545,938733.464858277,8.06694062909091,0.342826322575131,0.0119809721781672,"Keep"
"8",-3.659,8,10.5874004364014,38672338671.8673,5.67021548387927e-15,-3.11665030242424,0.0243811652710819,13.7553096848485,0.0429962210741719,1.00355101909091,0.00348481016190847,50205827366.6667,386074163.009479,13.7067965030303,0.0628064180475014,0.542349697575757,"Keep"
"9",-2.98099994659424,9,7.90381385238372,80133452.1183765,1.30372562278749e-11,-2.9654297769697,0.0997775952376493,10.8238712036364,2.01555798756231,1.92701228606061,0.46124041489722,106732898.545455,1290670.90199782,5.70401612151515,0.446612277883952,0.0155701696245414,"Keep"
"10",-1.32400000095367,10,9.21640014648438,1645887498.36511,2.88137545664526e-11,-1.30146072960606,0.101965649381439,10.7034003527273,2.20262968980506,2.47889630212121,0.7261784416388,2301304540.60606,81547260.7732687,4.45737500757576,0.541041863485634,0.0225392713476138,"Keep"
