Name,Ra_1,Dec_1,a26_1,b/a,AB,Kmag,f_Kmag,W50,TType,Tdw1,Tdw2,RVel,Dis,f_Dis,A26_1a,inc,Vm,AB_int,SBB,logKLum,logM26,l_logMHI,logMHI,VLG,Theta1,MD,Theta5,Thetaj,l_mag_B,mag_B,e_mag_B,l_mag_FUV,mag_FUV,e_mag_FUV,l_mag_HI,mag_HI,e_mag_HI,l_mag_Ha,mag_Ha,e_mag_Ha,cz,e_cz,e_W50,r_W50,DM,e_DM,BMag,l_SFRHa,logSFRHa,l_PHa,PHa,l_FHa,FHa,l_SFRFUV,logSFRFUV,l_PFUV,PFUV,l_FFUV,FFUV,KLum,M26,MHI,SFRHa,SFRFUV,SFR_UNGC,logSFR_UNGC,SFR_UNGC_Gyr,logSFR_UNGC_Gyr,StellarMass,logStellarMass,PGC,OBJNAME,ID_NED,ID_NEDD,ID_IRAS,ID_2MASS,SDSS_PHOTID,SDSS_SPECID,RA_2,DEC_2,F_ASTROM,R1,R2,PA,RSOURCE,RFLAG,T,E_T,INCL,V,E_V,V_VIR,E_V_VIR,NDIST,EDIST,D,E_D,D_LO68,D_HI68,D_LO95,D_HI95,DMETHOD,UT,BT,VT,IT,E_UT,E_BT,E_VT,E_IT,AG,AI,S12,S25,S60,S100,Q12,Q25,Q60,Q100,WF1,WF2,WF3,WF4,E_WF1,E_WF2,E_WF3,E_WF4,WFPOINT,WFTREAT,J,H,K,E_J,E_H,E_K,FLAG_2MASS,U,G,R,I,Z,E_U,E_G,E_R,E_I,E_Z,logL_TIR,logL_FIR,logL_60u,logL_12u,logL_22u,logL_K,ML_RATIO,logSFR_TIR,logSFR_FIR,logSFR_60u,logSFR_12u,logSFR_22u,logSFR_HEC,FLAG_SFR_HEC,logM_HEC,logSFR_GSW,logM_GSW,MIN_SNR,METAL,FLAG_METAL,CLASS_SP,AGN_S17,AGN_HEC,Separation,merge_D,merge_V,merge_T,merge_logKLum,merge_Kmag,merge_Bmag,logSFR_total,SFR_total,logM_total,M_total,sSFR,logsSFR,M_ratio,logM_ratio,ID,gr,bv,bu,MB,MR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16856,ESO362-007,ESO 362- G 007,,,,-,-,77.617971,-33.019121,1,0.2,0.2,0.0,H,2,10.0,5.0,0.0,945.2,4.0,667.6,10.05,0,0,10.5454,4.024,7.2001,15.4448,4.9161,22.6206,Z,,16.95,,,,0.2,,,0.099,0.0,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,10.5454,945.2,10.0,,,16.950000762939453,,,,,,,,,421,,,,-13.165314525621124,
Draco,260.00583333333327,57.909444444444446,35.48,0.69,0.12,6.7,*,20,-3,Sph,X,-296,0.08,TRGB,0.84,59,3,0.0,27.2,6.45,5.92,<,2.12,-51,2.9,Milky Way,2.9,1.75,,10.9,,>,23.0,,>,20.04,,,,,-296,5,1,2017MNRAS.465.2420W,19.52,,-8.74,,,,,,,<,-8.52,<,-4.83,>,0.77,2818382.931264455,831763.7711026708,131.82567385564073,,3.019951720402019E-9,3.019951720402019E-9,-8.52,3.0199517204020188,0.4800000000000003,1691029.758758673,6.228151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,-296.0,-3.0,6.45,6.7,10.9,-6.563999999999999,2.728977782808046E-7,6.363813852383717,2311074.0036368533,1.1808266539771348E-13,-12.927813852383716,7.586435828194798E-5,-4.119962211416631,422,,,,-8.615449934959717,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16864,ESO422-041,UGCA 103,UGCA 103,F05089-3139,05104696-3135497,-,-,77.695714,-31.597094,0,1.268,1.268,0.0,H,2,8.5,1.1,27.09,973.1,4.3,699.3,10.25,1,1,10.7647,1.9829,8.9536,12.942,7.4473,15.5597,N,12.979,13.179,12.749,12.749,0.049,0.049,0.049,0.049,0.054,0.075,0.0556,0.0439,0.4161,1.238,1,1,3,2,,,,,,,,,0,0,12.547,11.95,11.763,0.055,0.068,0.127,2,,,,,,,,,,,,,41.4598,,,8.6748,,,,-1.605,,,-1.502,F3,8.5896,,,,,-1,-1,?,?,,10.7647,973.1,8.5,8.674799919128418,11.762999534606934,13.178999900817871,-1.5019999742507935,0.031477485007304976,8.589599609375,3.886866365339986E8,8.098422237511534E-11,-10.091599583625793,,,423,,0.4300003,0.19999981,-16.98100975434564,
Dw0010-0112,2.6099999999999994,-1.2049999999999998,0.58,0.61,0.11,18.1,*,,10,Tr,L,,10.0,txt,1.69,61,,0.0,27.9,6.06,,,,,,,,,,20.58,,>,23.5,,,,,,,,,,,,30.0,,-9.53,,,,,,,<,-4.54,<,-0.47,,,1148153.6214968818,,,,2.8840315031266056E-5,2.8840315031266056E-5,-4.54,28840.315031266055,4.46,688892.1728981291,5.8381512503836435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,10.0,6.06,18.1,20.58,-3.778,1.6672472125510627E-4,5.973813852383716,941485.969627443,1.7708678263265164E-10,-9.751813852383716,,,424,,,,-9.420000000000002,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16904,ESO362-009,UGCA 106,UGCA 106,F05101-3301,,-,-,77.997199,-32.972599,1,1.559,1.559,0.0,H,2,9.1,0.4,25.45,930.1,3.0,652.6,9.66,1,1,10.1391,1.8677,8.4334,12.1899,7.0145,14.6555,N,,13.113,,,,0.212,,,0.095,0.067,0.0425,0.0589,0.3176,1.256,1,1,3,2,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,41.2905,,,,,,,-1.774,,,-1.671,F3,,,,,,-1,-1,?,?,,10.1391,930.1,9.1,,,13.11299991607666,-1.6710000038146973,0.021330448944106243,,,,,,,425,,,,-16.916997116118594,
Dw0149+3237,27.46208333333333,32.62833333333333,0.4,0.95,0.16,17.3,*,,-2,Sph,L,,5.3,mem,0.64,21,,0.0,28.1,5.87,,,,,2.2,UGC01281,2.2,-0.31,,21.5,,,,,,,,,,,,,,,28.62,,,,,,,,,,,,,,,741310.2413009177,,,,,,,0.0,,444786.1447805506,5.648151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,-2.0,5.87,17.3,21.5,,,5.783813852383717,607874.3978667526,,,,,426,,,,-7.121379348003945,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16957,PGC016957,UGCA 105,UGCA 105,,,-,-,78.560564,62.580632,0,1.409,0.587,23.8,H,1,9.9,0.5,90.0,111.2,1.7,288.3,9.62,6,1,3.4127,0.3223,3.204,3.5929,2.8676,4.4767,N,,15.079,,,,0.41,,,1.351,0.705,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,3.4127,111.2,9.9,,,15.079000473022461,,,,,,,,,427,,,,-12.586490089274589,
Dw0158+3018,29.727916666666665,30.31388888888889,0.67,0.4,0.18,15.9,*,,10,Tr,L,,5.4,mem,1.05,90,,0.0,26.0,6.43,,,,,0.2,NGC0784,0.2,-0.31,,18.4,,,,,,,,,,,,,,,28.66,,,,,,,,,,,,,,,2691534.803926914,,,,,,,0.0,,1614920.8823561484,6.208151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,,10.0,6.43,15.9,18.4,,,6.343813852383716,2207058.5392200695,,,,,428,,,,-10.261968799114843,
Dw0214+2836,33.54,28.613055555555558,0.44,0.48,0.25,16.4,*,,10,Irr,L,,9.7,mem,1.27,75,,0.0,25.7,6.73,,,,,1.1,NGC0855,1.1,0.97,,19.0,,,20.8,,,,,,,,,,,,29.93,,-11.19,,,,,,,,-3.37,,0.04,,,5370317.963702532,,,,4.2657951880159257E-4,4.2657951880159257E-4,-3.37,426579.5188015925,5.63,3222190.778221519,6.508151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,10.0,6.73,16.4,19.0,-2.959,0.0010990058394325208,6.643813852383717,4403660.730236077,2.4956641911276486E-10,-9.602813852383717,,,429,,,,-10.933858671331224,
Dw0218+2813,34.517083333333325,28.216944444444444,0.72,0.91,0.31,16.9,*,,-2,Sph,L,,9.7,mem,2.19,28,,0.0,29.1,6.53,,,,,0.8,NGC0855,0.8,0.97,,21.3,,,,,,,,,,,,,,,29.93,,,,,,,,,,,,,,,3388441.5613920274,,,,,,,0.0,,2033064.9368352164,6.308151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,,-2.0,6.53,16.9,21.3,,,6.443813852383717,2778522.0803414625,,,,,430,,,,-8.633858671331225,
Dw0827+6452,126.81791666666663,64.87388888888889,0.45,0.87,0.15,16.3,*,,-2,Sph,L,,3.7,mem,0.5,34,,0.0,27.3,5.95,,,,,0.6,MESSIER081,0.8,1.91,,20.5,,>,23.5,,,,,,,,,,,,27.84,,-7.49,,,,,,,<,-5.37,<,-1.18,,,891250.9381337459,,,,4.265795188015926E-6,4.265795188015926E-6,-5.37,4265.795188015925,3.63,534750.5628802475,5.728151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7,,-2.0,5.95,16.3,20.5,-4.359,4.375221051582521E-5,5.863813852383717,730825.7692696716,5.986681416495157E-11,-10.222813852383718,,,431,,,,-7.341008620334975,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17467,ESO363-008,ESO 363- G 008,,,,-,-,83.66534,-34.179998,1,0.254,0.187,176.7,H,1,10.0,0.4,48.19,869.5,3.8,589.0,9.35,0,0,8.8025,3.5215,5.9002,13.1325,3.9548,19.5926,Z,,16.64,,,,0.2,,,0.105,0.248,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,8.8025,869.5,10.0,,,16.639999389648438,,,,,,,,,432,,,,-13.083030779062671,
Dw0852-0210,133.14791666666665,-2.1780555555555554,0.73,0.97,0.07,15.9,*,,-2,Sph,L,,10.0,txt,2.16,16,,0.0,27.9,6.97,,,,,,,,,,20.01,,>,23.5,,,,,,,,,,,,30.0,,-10.06,,,,,,,<,-4.57,<,-1.41,,,9332543.007969905,,,,2.691534803926914E-5,2.691534803926914E-5,-4.57,26915.348039269138,4.43,5599525.804781943,6.748151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,-2.0,6.97,15.9,20.01,-3.799,1.5885467485977792E-4,6.8838138523837165,7652685.266535322,2.075803059018234E-11,-10.682813852383717,,,433,,,,-9.989999999999998,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17603,PGC017603,CGCG 422-003,,,05414221+0640502,-,-,85.425951,6.680499,0,0.574,0.433,172.7,H,1,9.5,1.1,46.14,451.4,4.8,334.6,11.79,0,0,4.6954,2.0964,3.0045,7.3379,1.9225,11.4677,Z,,15.799,,,,0.402,,,2.3,0.226,,,,,0,0,0,0,,,,,,,,,0,0,11.482,10.883,10.391,0.077,0.096,0.103,2,,,,,,,,,,,,,,,,8.5029,,,,,,,,,8.4178,,,,,-1,-1,?,?,,4.6954,451.4,9.5,8.502900123596191,10.390999794006348,15.798999786376953,,,8.417799949645996,2.616977264546252E8,,,,,434,,,,-12.55936319172748,
Dw0910+6942,137.67541666666665,69.70305555555557,0.37,0.82,0.24,14.8,*,,-2,Sph,L,,7.5,mem,0.85,41,,0.0,25.5,7.16,,,,,2.0,NGC2787,2.0,0.95,,19.1,,>,23.5,,,,,,,,,,,,29.38,,-10.52,,,,,,,<,-4.68,<,-1.7,,,1.445439770745928E7,,,,2.089296130854041E-5,2.089296130854041E-5,-4.68,20892.961308540405,4.32,8672638.624475569,6.938151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,-2.0,7.16,14.8,19.1,-3.876,1.3304544179780915E-4,7.073813852383717,1.185260612011661E7,1.1224994777477698E-11,-10.949813852383716,,,435,,,,-10.275306316958499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17716,PGC017716,Orion Dwarf,,,,-,-,86.258749,5.069167,0,1.0,0.48,24.5,H,1,9.0,1.7,74.82,375.2,8.4,250.5,13.58,0,0,4.2054,1.9492,2.6455,6.6851,1.6642,10.6268,Z,,15.7,14.68,14.68,,0.5,0.1,0.1,3.037,0.588,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,4.2054,375.2,9.0,,,15.699999809265137,,,,,,,,,436,,1.0199995,,-12.419036742570803,
Dw0910+7326,137.56499999999997,73.44,2.35,0.88,0.09,11.8,*,,-2,Sph,L,,3.21,SBF,2.23,33,,0.0,26.4,7.62,,,,,1.3,MESSIER081,1.5,1.91,,15.96,0.06,>,23.5,,,,,,,,,,,,27.53,0.26,-11.66,,,,,,,<,-5.54,<,-3.02,,,4.168693834703355E7,,,,2.884031503126606E-6,2.884031503126606E-6,-5.54,2884.0315031266055,3.46,2.5012163008220132E7,7.398151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.21,,-2.0,7.62,11.8,15.96,-4.478,3.326595532940047E-5,7.533813852383717,3.418328944456751E7,9.731642527658255E-13,-12.011813852383716,,,437,,,,-11.572525162024359,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18096,PGC018096,UGCA 116,UGCA 116,UGCA 116,05554264+0323322,1237674284860112908,-,88.927484,3.391717,1,0.563,0.248,165.0,2,1,3.8,2.7,,797.1,2.7,664.8,10.83,1,1,10.3276,1.9024,8.5901,12.4165,7.145,14.9279,N,15.551,15.481,14.661,14.661,0.062,0.062,0.062,0.062,3.568,,0.45,1.91,6.57,5.27,4,4,4,4,11.742107,10.234129,4.808225,1.724868,0.001321,0.001017,4.14E-4,5.77E-4,0,0,13.172,12.522,12.345,0.055,0.074,0.111,2,17.33,15.359,15.213,15.812,15.312,0.012,0.003,0.003,0.004,0.006,42.9684,42.553,42.6221,42.081,42.427,8.406,,-0.442,-0.551,-0.443,-0.205,0.082,-0.442,RT,8.3208,,,,,-1,-1,N,N,,10.3276,797.1,3.8,8.406000137329102,12.345000267028809,15.480999946594238,-0.44200000166893005,0.3614098612507681,8.320799827575684,2.0931474724223977E8,1.7266335316188153E-9,-8.762799829244614,,,438,0.14599991,0.8199997,-0.069999695,-14.588997097665793,-15.698074071262452
Dw0916+6944,139.1820833333333,69.73361111111112,0.57,0.33,0.32,16.7,*,,10,Irr,L,,7.5,mem,1.28,90,,0.0,26.4,6.41,,,,,2.6,NGC2787,2.6,0.95,,19.3,,>,23.5,,,,,,,,,,,,29.38,,-10.4,,,,,,,<,-4.62,<,-0.89,,,2570395.7827688647,,,,2.39883291901949E-5,2.39883291901949E-5,-4.62,23988.329190194898,4.38,1542237.4696613187,6.188151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,10.0,6.41,16.7,19.3,-3.834,1.4655478409559113E-4,6.323813852383717,2107724.541870469,6.953222832692039E-11,-10.157813852383716,,,439,,,,-10.0753063169585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18370,ESO555-028,,,,,-,-,91.116765,-19.621601,1,0.335,0.149,149.3,H,1,9.5,0.6,80.13,881.8,3.2,649.2,9.49,0,0,10.177,3.9049,6.9339,14.9368,4.7243,21.9228,Z,,17.16,,,,0.2,,,0.387,0.651,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,10.177,881.8,9.5,,,17.15999984741211,,,,,,,,,440,,,,-12.878099025174908,
Dw0918+6935,139.64541666666665,69.59527777777777,0.27,0.85,0.38,15.6,*,,-2,Sph,L,,7.5,mem,0.65,37,,0.0,25.6,6.85,,,,,3.0,NGC2787,3.0,0.95,,20.0,,>,23.5,,,,,,,,,,,,29.38,,-9.75,,,,,,,<,-4.58,<,-1.3,,,7079457.843841373,,,,2.6302679918953814E-5,2.6302679918953814E-5,-4.58,26302.67991895381,4.42,4247674.706304824,6.6281512503836435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,-2.0,6.85,15.6,20.0,-3.806,1.5631476426409538E-4,6.763813852383716,5805155.431949927,2.692688698803538E-11,-10.569813852383717,,,441,,,,-9.3753063169585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18396,ESO364-029,ESO 364- G?029,ESO 364- G?029,,,-,-,91.43731,-33.081608,1,1.358,0.632,55.8,H,1,10.0,0.5,76.79,786.5,3.0,511.1,8.45,1,1,9.0365,0.4161,8.6298,9.4624,8.2414,9.9083,N,,13.606,,,,0.186,,,0.195,0.616,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,9.0365,786.5,10.0,,,13.605999946594238,,,,,,,,,442,,,,-16.17400131805229,
Dw0919+6932,139.7825,69.54833333333333,0.3,0.62,0.37,17.4,*,,10,Tr,L,,7.5,mem,0.7,60,,0.0,25.9,6.11,,,,,3.2,NGC2787,3.2,0.95,,20.1,,>,23.5,,,,,,,,,,,,29.38,,-9.64,,,,,,,<,-4.59,<,-0.56,,,1288249.551693135,,,,2.5703957827688645E-5,2.5703957827688645E-5,-4.59,25703.957827688642,4.41,772949.7310158809,5.888151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,10.0,6.11,17.4,20.1,-3.8129999999999997,1.5381546403030357E-4,6.023813852383717,1056364.6323883706,1.4560830542247234E-10,-9.836813852383717,,,443,,,,-9.275306316958499,
Dw0919+6955,139.89124999999999,69.92222222222223,0.42,0.65,0.35,15.1,*,,-2,Sph,L,,7.5,mem,0.99,60,,0.0,26.1,7.04,,,,,2.3,NGC2787,2.5,0.95,,19.5,,>,23.5,,,,,,,,,,,,29.38,,-10.22,,,,,,,<,-4.6,<,-1.5,,,1.0964781961431852E7,,,,2.5118864315095822E-5,2.5118864315095822E-5,-4.6,25118.86431509582,4.4,6578869.176859111,6.818151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,-2.0,7.04,15.1,19.5,-3.82,1.5135612484362088E-4,6.953813852383717,8991121.208374118,1.683395444637665E-11,-10.773813852383716,,,444,,,,-9.8753063169585,
Dw0920+6924,140.01083333333332,69.41250000000001,0.18,0.8,0.48,15.9,*,,-2,Sph,L,,7.5,mem,0.44,43,,0.0,25.1,6.73,,,,,3.6,NGC2787,3.6,0.95,,20.4,,>,23.5,,,,,,,,,,,,29.38,,-9.46,,,,,,,<,-4.5,<,-1.1,,,5370317.963702532,,,,3.1622776601683795E-5,3.1622776601683795E-5,-4.5,31622.776601683792,4.5,3222190.778221519,6.508151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,-2.0,6.73,15.9,20.4,-3.75,1.7782794100389227E-4,6.643813852383717,4403660.730236077,4.0381844083242777E-11,-10.393813852383717,,,445,,,,-8.975306316958502,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18583,ESO556-002,UGCA 120,,,,-,-,92.817072,-21.600024,1,0.656,0.585,133.8,H,1,9.5,0.6,29.87,858.7,7.9,619.7,11.72,0,0,9.5319,3.7156,6.4549,14.0758,4.3712,20.7856,Z,,14.097,,,,0.459,,,0.333,0.092,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,?,?,,9.5319,858.7,9.5,,,14.097000122070312,,,,,,,,,446,,,,-15.79889726531353,
Dw0920+7017,140.09333333333333,70.29138888888889,0.48,0.51,0.61,14.6,*,,-2,Sph,L,,7.5,mem,1.19,78,,0.0,26.0,7.22,,,,,1.7,NGC2787,1.8,0.95,,19.3,,>,23.5,,,,,,,,,,,,29.38,,-10.68,,,,,,,<,-4.4,<,-1.49,,,1.6595869074375598E7,,,,3.9810717055349695E-5,3.9810717055349695E-5,-4.4,39810.71705534969,4.6,9957521.444625359,6.998151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,-2.0,7.22,14.6,19.3,-3.68,2.0892961308540387E-4,7.1338138523837165,1.360861264098799E7,1.5352748924319114E-11,-10.813813852383717,,,447,,,,-10.0753063169585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18731,ESO121-020,ESO 121- G 020,ESO 121- G 020,,,-,-,93.976284,-57.725569,1,0.411,0.151,52.9,H,1,10.0,0.5,90.0,581.8,2.5,268.8,6.95,3,1,6.0159,0.2108,5.8349,6.2033,5.5638,6.4745,N,,15.731,,,,0.293,,,0.18,0.806,,,,,0,0,0,0,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,N,N,,6.0159,581.8,10.0,,,15.730999946594238,,,,,,,,,448,,,,-13.165503096070081,
Dw0927+6818,141.8658333333333,68.31527777777778,0.53,0.76,0.22,17.0,*,,10,Irr,L,,7.5,mem,1.2,46,,0.0,26.7,6.25,,,,,1.7,NGC2787,1.7,0.95,,19.6,,,,,,,,,,,,,,,29.38,,,,,,,,,,,,,,,1778279.410038923,,,,,,,0.0,,1066967.6460233538,6.028151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.5,,10.0,6.25,17.0,19.6,,,6.163813852383717,1458189.1162319167,,,,,449,,,,-9.775306316958499,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18782,ESO121-022,ESO 121-IG 022,,,06175130-5924541,-,-,94.46375,-59.415028,0,0.205,0.112,115.0,H,1,,,58.32,-59.0,,-372.4,,0,0,0.7768,0.3085,0.5222,1.1556,0.3511,1.719,Z,,16.69,,,,0.2,,,0.177,,,,,,0,0,0,0,,,,,,,,,0,0,13.529,12.858,12.505,0.069,0.09,0.106,2,,,,,,,,,,,,,,,,6.0947,,,,,,,,,6.0095,,,,,-1,-1,?,?,,0.7768,-59.0,,6.094699859619141,12.505000114440918,16.690000534057617,,,6.009500026702881,1022115.6234455194,,,,,450,,,,-7.761545550442126,
Dw0956-0523,149.23166666666665,-5.392222222222222,0.38,0.95,0.14,15.1,*,,-2,Sph,L,,10.2,mem,1.17,21,,0.0,25.8,7.31,,,,,0.4,NGC3115,0.4,1.72,,19.3,,,,,,,,,,,,,,,30.04,,,,,,,,,,,,,,,2.0417379446695276E7,,,,,,,0.0,,1.2250427668017166E7,7.0881512503836435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,-2.0,7.31,15.1,19.3,,,7.223813852383716,1.6742251146290125E7,,,,,451,,,,-10.743000858809587,
Dw0958-0610,149.6470833333333,-6.166111111111111,0.38,0.81,0.13,15.3,*,,-2,Sph,L,,10.2,mem,1.16,42,,0.0,26.0,7.22,,,,,0.6,NGC3115,0.6,1.72,,19.5,,,,,,,,,,,,,,,30.04,,,,,,,,,,,,,,,1.6595869074375598E7,,,,,,,0.0,,9957521.444625359,6.998151250383644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,,-2.0,7.22,15.3,19.5,,,7.1338138523837165,1.360861264098799E7,,,,,452,,,,-10.543000858809588,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19161,UGC03475,UGC 03475,UGC 03475,,06302885+3930136,-,-,97.620209,39.503778,0,0.76,0.443,82.2,H,1,8.7,0.7,63.4,480.3,19.4,546.0,22.28,1,1,8.5901,1.5824,7.145,10.3276,5.9429,12.4165,N,,15.69,,,,0.511,,,0.799,0.432,,,,,0,0,0,0,,,,,,,,,0,0,13.334,12.662,12.522,0.048,0.067,0.09,2,,,,,,,,,,,,,,,,8.1752,,,,,,,,,8.09,,,,,-1,-1,?,?,,8.5901,480.3,8.7,8.175200462341309,12.522000312805176,15.6899995803833,,,8.09000015258789,1.2302692030632101E8,,,,,453,,,,-13.979991517699222,
