SFR_total,logM_total,sSFR,ID,x_n,tau_n,A_n,SFR
0.00012106284048878994,8.023813852383716,1.1460326934183237e-12,2,1.4087327730181757e-08,965406659.1254444,8.296454534565298e+21,0.00012106284048878994
0.04083193316379497,8.244799613952637,2.3238084568901466e-10,3,4.447917031083524e-08,305761099.07083863,2.806890782677649e+23,0.040831933163794965
0.0005646265226791278,6.033813852383717,5.223329492330403e-10,4,1.0698574305952556e-08,1271197414.8212557,6.708854498947537e+22,0.000564626522679128
0.030861791198509906,8.773813852383716,5.195259871693041e-11,5,3.0556414889573738,4.450783918580875,954560541.3787508,0.030861791198509916
0.010466723141937466,10.330300331115723,4.892269867261196e-13,6,1.4546380471505275e-08,934940484.1046797,6.727284057246623e+23,0.01046672314193747
0.00021494222591513163,7.973813852383717,2.283010398977972e-12,7,1.31338325166868e-08,1035493636.9655181,1.6946409959983627e+22,0.00021494222591513166
0.00021928049353504497,10.587400436401367,5.670215483879271e-15,8,7.448603071585738e-09,1825845714.8670008,5.375133412389796e+22,0.000219280493535045
0.0010447203476914228,7.903813852383717,1.3037256227874942e-11,9,-9.452782565040615e-09,-1438729803.2536058,1.590082365418785e+23,0.0010447203476914228
0.047424198421884896,9.216400146484375,2.881375456645257e-11,10,4.116150346045288,3.3040581263185875,2334413739.44974,0.0474241984218849
0.006546361510668558,8.389200210571289,2.671774337813708e-11,11,4.243946347348706,3.2045645460377328,344446363.1293698,0.00654636151066856
0.00018071741260109275,8.303813852383717,8.97813533530165e-13,12,1.4267592575347941e-08,953209164.6279954,1.2073620370588434e+22,0.00018071741260109272
0.05407543728185341,9.186699867248535,3.518035137563024e-11,13,3.7703509426459734,3.607091277942348,2245008582.3681307,0.05407543728185341
0.000521933847744966,6.513813852383716,1.5988275003611806e-10,14,0.5137859743744968,26.470165941289412,44949440.988661066,0.0005219338477449658
0.0045865503617094,7.093813852383716,3.6954924060222833e-10,15,4.6975745472452265e-09,2895111054.2727575,2.8266869598328285e+24,0.0045865503617094
0.03810657974533261,9.597200393676758,9.633843272779726e-12,16,-1.3957200714177727e-08,-974407424.4189322,2.6603711206285586e+24,0.0381065797453326
0.002851790542141792,6.953813852383717,3.171785226836561e-10,17,9.139179682406304e-09,1488098546.3258975,4.643464234696101e+23,0.0028517905421417923
2.0941125029854732,10.405799865722656,8.226216667410383e-11,18,2.1246863219321654,6.400944864008121,52806674594.0678,2.0941125029854724
0.00907820530178186,7.6738138523837165,1.9239161825601828e-10,19,8.733763583096135e-08,155717519.37872785,1.6185871302996133e+22,0.00907820530178186
0.007367222347689617,7.473813852383716,2.4745140553513603e-10,20,-1.1374480668419666e-10,-119565898404.12943,7.74425298457762e+27,0.007367222347689617
0.7620790087703158,10.150199890136719,5.392623614203813e-11,21,2.9840886092056955,4.55750541657677,23008520548.99281,0.7620790087703156
1.1402497876394153,10.307299613952637,5.619535072628254e-11,22,2.9042584204219244,4.682778882336587,33556124729.4013,1.140249787639415
5.530742088138544e-05,7.503813852383717,1.7336824559675093e-12,23,1.3675928286565827e-08,994448034.1681513,4.021690928038379e+21,5.530742088138544e-05
3.0269134713058206,10.84179973602295,4.357127515612435e-11,24,3.385327337526758,4.017336772501252,106063647937.36877,3.02691347130582
0.021330448944106243,8.784500122070312,3.5034818674929914e-11,25,3.7776570930652595,3.6001150091060046,888606463.2362231,0.02133044894410624
0.00154170045294956,7.703813852383717,3.049201660605405e-11,26,4.019304697761852,3.3836698192035937,72243519.98311697,0.00154170045294956
0.0003910035328197807,6.723813852383716,7.385277679082545e-11,27,2.3535843335145272,5.778420516460349,10102032.221563317,0.0003910035328197807
0.0007709036180343175,7.343813852383716,3.49290063827097e-11,28,3.7829847242094585,3.595044915980207,32195799.039187554,0.0007709036180343176
0.00032941161221513915,6.655613683774098,7.279896766872495e-11,29,2.383558760205942,5.705754029250341,8550519.54997046,0.0003294116122151391
0.00033884415613920273,9.467599868774414,1.1545164657678545e-13,31,7.415981285254803e-09,1833877335.5645978,8.379182726310317e+22,0.00033884415613920273
0.0010814339512979386,7.523813852383717,3.2373238560677296e-11,32,3.915864485461551,3.4730517489797683,48141757.217421696,0.0010814339512979383
0.002824879813632515,8.213813852383717,1.7265776818585395e-11,33,4.954992611924761,2.744706413339554,222013206.98369142,0.0028248798136325153
0.08570377831249215,9.479999542236328,2.837921814072074e-11,34,4.141989907229403,3.283445953420274,4275276081.284721,0.08570377831249215
0.0385478327192558,9.06149959564209,3.345803029207871e-11,35,3.8584494336055877,3.5247319510136146,1668847089.639715,0.038547832719255805
9.772372209558131e-06,6.3838138523837165,4.038184408324294e-12,36,1.153902513269573e-08,1178609097.7013748,9.981611785018089e+20,9.772372209558131e-06
0.003830336625877277,7.833813852383717,5.615948168176481e-11,37,2.9055010681882103,4.6807761142833035,112765656.80768506,0.003830336625877278
0.0010814339512979386,6.853813852383717,1.5142101312102566e-10,39,0.6618687183448425,20.547881510414904,65079038.686669655,0.001081433951297939
0.006998420421061077,7.962900161743164,7.622542717370913e-11,40,2.287203135693777,5.946126860251402,179163345.0477357,0.006998420421061076
0.0014748196133890234,6.973813852383716,1.5664807134328585e-10,41,0.5698651352548177,23.865295766723296,109200071.2990583,0.001474819613389023
0.0020511623499844273,7.813813852383717,3.149098056232725e-11,42,3.9637397927553493,3.4311031276213297,93488672.06024787,0.0020511623499844273
0.009375620069258801,8.673813852383716,1.9869463812679547e-11,43,4.73099094276821,2.874662024197901,646067560.7334639,0.009375620069258803
