"","logSFR_total","ID","logM_total","M_total","sSFR","logSFR_pred","logSFR_pred_sigma","t_sf_np","t_sf_sigma_np","tau_np","tau_sigma_np","A_np","A_sigma_np","x_np","x_sigma_np","diff","flag"
"1",-0.0659999996423721,1,10.7721996307373,59183361790.124,1.4514442847282e-11,-0.0237308397296752,0.100696051460017,12.2009997006061,1.41423847152383,2.34880286575758,0.382271091214649,79709101215.1515,1166960381.97032,5.24897784636364,0.411656767825677,0.0422691599126969,"Keep"
"2",-3.91698914048348,2,8.02381385238372,105636463.238837,1.14603269341832e-12,-3.89680395666667,0.0996861560685075,12.2606449724242,1.18407341212621,1.38972367424242,0.15936961189156,137526799.636364,1057281.56058275,8.84589425787879,0.320801055388924,0.0201851838168099,"Keep"
"3",-1.38900005817413,3,8.24479961395264,175711268.46848,2.32380845689015e-10,-1.39601351333333,0.100697008594882,6.34115482909091,1.10173887063081,4.18067134030303,0.972172069020734,523105138.939394,125822102.709142,1.56979328339394,0.318548364971969,-0.00701345515920004,"Keep"
"4",-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304e-10,-3.26022225424242,0.100337318065281,3.70445547363636,0.686532388848341,4.12699454090909,0.976475214799855,6595770.57212121,2529729.25769278,0.938645016,0.239789218162268,-0.011983529014445,"Keep"
"5",-1.51057887136899,5,8.77381385238372,594037487.261491,5.19525987169304e-11,-1.47832856666667,0.0936922260179928,11.7266421087879,1.4817965010196,3.74788156515151,0.770613598959383,944911552.454545,68247538.09866,3.20176131272727,0.423258468375995,0.0322503047023226,"Keep"
"6",-1.98018926331852,6,10.3303003311157,21394410827.5388,4.8922698672612e-13,-1.96024752363636,0.0994098294074515,12.4261256278788,0.992933107168422,1.25603534909091,0.116929596609571,27826629003.0303,211507314.491706,9.90910892212121,0.298852741341474,0.0199417396821568,"Keep"
"7",-3.66767825793574,7,7.97381385238372,94148596.9627445,2.28301039897797e-12,-3.64375858030303,0.101042882367484,12.1784232145455,1.30245379033948,1.53928720787879,0.19918324649577,122798289.969697,943270.857308858,7.94176588060606,0.342134976617232,0.0239196776327129,"Keep"
"8",-3.659,8,10.5874004364014,38672338671.8673,5.67021548387927e-15,-3.11648904848485,0.0247845736748258,13.7555166636364,0.0431727317108457,1.00360138,0.00353436711966053,50204900242.4242,385936825.691188,13.7063218090909,0.0638421022257764,0.542510951515151,"Keep"
"9",-2.98099994659424,9,7.90381385238372,80133452.1183765,1.30372562278749e-11,-2.94100748939394,0.102445453804674,12.1972848354545,1.42100134794063,2.27167918666667,0.366229249865586,107401023.090909,1421472.9501445,5.42256484181818,0.411657996122022,0.0399924572002988,"Keep"
"10",-1.32400000095367,10,9.21640014648438,1645887498.36511,2.88137545664526e-11,-1.27728441254545,0.0999671127439259,12.1726085830303,1.39269376125273,3.0009449469697,0.546550733783849,2348046272.42424,84157328.8573201,4.12489193424242,0.441039551203654,0.0467155884082198,"Keep"
"11",-2.18400001525879,11,8.38920021057129,245019252.487671,2.67177433781371e-11,-2.13540057212121,0.101560234695486,12.204699319697,1.38322229390603,2.92448685333333,0.524282046481631,346546877.30303,11390120.2176894,4.24076272939394,0.442141277494811,0.0485994431375771,"Keep"
"12",-3.743,12,8.30381385238372,201286131.086173,8.97813533530165e-13,-3.72251362333333,0.0998456073790735,12.2934415560606,1.13958465198143,1.34605716909091,0.147514114100024,261964497.727273,2004511.05527992,9.15460620757576,0.315887266166261,0.0204863766666668,"Keep"
"13",-1.26699995994568,13,9.18669986724854,1537092017.77081,3.51803513756302e-11,-1.22046688269697,0.0985362117972945,12.1260221078788,1.36048413755773,3.26326383272727,0.609475357067767,2261459855.45455,106933351.119793,3.78593573484849,0.437998045243508,0.0465330772487089,"Keep"
"14",-3.28238453795541,14,6.51381385238372,3264478.79853868,1.59882750036118e-10,-3.28724507909091,0.0996041021362492,7.84046335151515,1.32891103487071,4.19963227969697,0.96801349507093,7732345.65606061,1399199.98422275,1.92378233733333,0.344277261482818,-0.00486054113549494,"Keep"
"15",-2.33851383344551,15,7.09381385238372,12411202.2371769,3.69549240602228e-10,-2.34781505727273,0.10008773144286,4.71746466606061,0.840123792484021,4.1508293730303,0.963159989567897,53618907.1545455,17083752.8637864,1.18182807063636,0.272439493371937,-0.00930122382721432,"Keep"
"16",-1.4190000295639,16,9.59720039367676,3955490936.10461,9.63384327277973e-12,-1.38151678278788,0.100036326644441,12.18855537,1.40791028318023,2.08715872666667,0.3213950000739,5247723217.87879,53522015.4786325,5.88690857515151,0.390907573980261,0.0374832467760251,"Keep"
"17",-2.54488237564085,17,6.95381385238372,8991121.20837412,3.17178522683656e-10,-2.55367711151515,0.0994965776007158,5.22131129272727,0.919642472081118,4.15933279636364,0.969076934090252,33899601.9909091,9782773.70601152,1.30360876721212,0.288392391639039,-0.00879473587430191,"Keep"
"18",0.321000009775162,18,10.4057998657227,25456568768.5041,8.22621666741038e-11,0.327106561511212,0.0954437577247884,10.6255572906061,1.60689477696635,4.14892547515151,0.911507565118183,45862265218.1818,4815194708.02651,2.62521885393939,0.384205560785755,0.0061065517360504,"Keep"
"19",-2.042,19,7.67381385238372,47186074.8616468,1.92391618256018e-10,-2.04831215575758,0.100632613191669,7.0835409530303,1.21954322534827,4.19346822969697,0.976971963194045,124201581.269697,25967361.7898325,1.74500325357576,0.334429931359756,-0.00631215575757604,"Keep"
