"","logSFR_total","ID","logM_total","M_total","sSFR","logSFR_pred","logSFR_pred_sigma","t_sf_np","t_sf_sigma_np","tau_np","tau_sigma_np","A_np","A_sigma_np","x_np","x_sigma_np","diff","flag"
"1",-0.0659999996423721,1,10.7721996307373,59183361790.124,1.4514442847282e-11,-0.0233074181355139,0.100889020132753,13.2461520424242,0.285913088403625,2.60632576060606,0.203225121754745,80029816006.0606,1169857295.41473,5.10954697969697,0.365163873574808,0.0426925815068582,"Keep"
"2",-3.91698914048348,2,8.02381385238372,105636463.238837,1.14603269341832e-12,-3.89672390363636,0.100134656822312,13.2424341818182,0.286448149177869,1.51704345666667,0.0645313609353933,137537062.363636,1052783.74505719,8.74012351151515,0.300332170440053,0.0202652368471128,"Keep"
"3",-1.38900005817413,3,8.24479961395264,175711268.46848,2.32380845689015e-10,-1.78864900818182,0.0455161771288494,12.8578020424242,0.417068432856594,6.52907947575758,0.683039863618361,392240786.515152,38101170.0698698,1.98983917939394,0.208064623590347,-0.399648950007685,"Keep"
"4",-3.24823872522798,4,6.03381385238372,1080970.52561625,5.2233294923304e-10,-3.93894208818182,0.0388692816473833,12.5193986430303,0.473665893759372,7.25466007515152,0.683444579296788,2747310.94393939,271072.67538839,1.73998622393939,0.165963212578744,-0.690703362953839,"Keep"
"5",-1.51057887136899,5,8.77381385238372,594037487.261491,5.19525987169304e-11,-1.50763446969697,0.0820368780574601,13.2043802363636,0.302378319281423,4.32967698909091,0.524622943929757,959585393.454545,63940303.8995551,3.09174647060606,0.357409350188914,0.00294440167201948,"Keep"
"6",-1.98018926331852,6,10.3303003311157,21394410827.5388,4.8922698672612e-13,-1.96349238,0.100306762360853,13.2387697636364,0.289589861339873,1.34731594636364,0.0519434001796791,27828287633.3333,214397588.752075,9.83530219121212,0.291344789539278,0.0166968833185206,"Keep"
"7",-3.66767825793574,7,7.97381385238372,94148596.9627445,2.28301039897797e-12,-3.64314389818182,0.100308472003674,13.2429833787879,0.285199192009374,1.69624788848485,0.0803474666145963,122836375.878788,956416.824952805,7.82035755030303,0.311044040023829,0.0245343597539249,"Keep"
"8",-3.659,8,10.5874004364014,38672338671.8673,5.67021548387927e-15,-3.07408945212121,0.0320299011389601,13.6467202,0.0694395321350194,1.0033660630303,0.00328313890507225,50198112148.4848,385960159.620233,13.6010766151515,0.0810063550169696,0.584910547878787,"Keep"
"9",-2.98099994659424,9,7.90381385238372,80133452.1183765,1.30372562278749e-11,-2.93992406606061,0.100885274996047,13.2469313878788,0.283461708119371,2.52027233060606,0.18842542651596,107766579.454545,1412238.02850266,5.28187464121212,0.360456017523465,0.0410758805336324,"Keep"
"10",-1.32400000095367,10,9.21640014648438,1645887498.36511,2.88137545664526e-11,-1.28096836075758,0.0984298923400598,13.2398195212121,0.287099477296755,3.35640553575758,0.35437975279678,2372079854.84848,86379483.5591823,3.98475553363636,0.392152192517298,0.0430316401960986,"Keep"
"11",-2.18400001525879,11,8.38920021057129,245019252.487671,2.67177433781371e-11,-2.13886181030303,0.0986110378347348,13.240987730303,0.286508168171278,3.25494134212121,0.330014959964208,349566539.212121,11302451.7761807,4.10611046424242,0.388542164337222,0.0451382049557587,"Keep"
"12",-3.743,12,8.30381385238372,201286131.086173,8.97813533530165e-13,-3.72341078515152,0.100530573313783,13.2384227181818,0.290279453420595,1.46336560606061,0.0605835410271765,261975523.575758,1993649.91197149,9.05705877272727,0.298426199689657,0.0195892148484846,"Keep"
"13",-1.26699995994568,13,9.18669986724854,1537092017.77081,3.51803513756302e-11,-1.22963030675758,0.0940806970391707,13.2305740484848,0.292401580728821,3.65821387151515,0.411598394020151,2288564572.72727,105578330.658113,3.65889553636364,0.386838423366237,0.0373696531881029,"Keep"
"14",-3.28238453795541,14,6.51381385238372,3264478.79853868,1.59882750036118e-10,-3.55656080575758,0.0506063494093546,12.9807704848485,0.383811077569046,6.10192686727273,0.67368094643001,6800245.73060606,643782.633861453,2.15210130939394,0.23531069226238,-0.274176267802162,"Keep"
"15",-2.33851383344551,15,7.09381385238372,12411202.2371769,3.69549240602228e-10,-2.90233812242424,0.040698205855409,12.6736097969697,0.453279049969448,6.97594031757576,0.67937977061203,29934970.7121212,2913183.53280434,1.83293787757576,0.179479841650634,-0.56382428897873,"Keep"
"16",-1.4190000295639,16,9.59720039367676,3955490936.10461,9.63384327277973e-12,-1.38179552751515,0.101634754895582,13.2487275333333,0.281445140587494,2.31146690636364,0.155563263222271,5259575643.93939,54011760.9667979,5.75409866484848,0.350974338048634,0.0372045020487524,"Keep"
"17",-2.54488237564085,17,6.95381385238372,8991121.20837412,3.17178522683656e-10,-3.05418862969697,0.04190671876576,12.7390933969697,0.447387986843159,6.83121180969697,0.673946184054761,21134724.2818182,2035207.90929387,1.88193464515152,0.186523905081279,-0.50930625405612,"Keep"
"18",0.321000009775162,18,10.4057998657227,25456568768.5041,8.22621666741038e-11,0.237771251218212,0.0669296271300785,13.1387622848485,0.330995090887789,5.13892292515152,0.616232081432448,45928962687.8788,3895558848.29195,2.59188257454545,0.303783348324346,-0.0832287585569496,"Keep"
"19",-2.042,19,7.67381385238372,47186074.8616468,1.92391618256018e-10,-2.37716550272727,0.0477361973151287,12.9245453515152,0.39816317205153,6.32344721727273,0.66815377683417,101811955.9,9695896.62115178,2.06584243121212,0.218913095729452,-0.335165502727273,"Keep"
