And XII           , 004727.0+342229, -3,  -6.19, <-6.43, <-1.72, > 2.20, <-6.20, <-1.49, > 1.97
NGC0253           , 004734.3-251732,  5, -21.15,   0.26,  -0.58,  -1.04,   0.34,  -0.50,  -1.12
Scl-MM-Dw1        , 004734.9-262320, -3,  -8.75,       ,       ,       , <-5.18, <-1.50, > 2.31
KDG002            , 004921.1-180428, 10, -11.49, <-5.72, <-2.43, > 1.84,  -3.83,  -0.54,  -0.05
DDO006            , 004949.3-210058, 10, -12.45,  -4.14,  -1.09,   1.33,  -2.86,   0.19,   0.05
ESO540-032        , 005024.6-195425, 10, -11.45,  -4.98,  -1.68,   1.14,  -3.91,  -0.61,   0.07
Bol520            , 005042.4+325459, -3,  -8.09, <-6.77, <-2.23,       ,  -6.09,  -1.55,       
And XIV           , 005135.0+294149, -3,  -7.79,  -5.82,  -1.75,   1.48, <-6.49, <-2.42, > 2.15
And XIII          , 005151.0+330016, -3,  -6.17, <-6.42, <-1.70, > 2.20, <-6.30, <-1.58, > 2.08
SMC               , 005238.0-724801,  9, -16.50,  -1.34,  -0.05,   0.12,       ,       ,       
And IX            , 005252.8+431200, -3,  -8.21,  -6.87,  -2.97,   2.60,  -6.22,  -2.32,   1.95
NGC0300           , 005453.5-374057,  7, -17.85,  -0.78,  -0.05,   0.23,  -0.56,   0.17,   0.01
LV J0055-2310     , 005501.0-231009, 10,  -9.76,       ,       ,       ,  -3.79,   0.19,   0.56
PAndAS-48         , 005928.2+312910, -3,  -4.31, <-6.30, <-0.84,       , <-6.37, <-0.91,       
And XVI           , 005929.8+322236, -3,  -6.79, <-6.76, <-2.29, > 2.13,  -5.81,  -1.34,   1.18
Sculptor          , 010009.4-334233, -3,  -9.77,       ,       ,       ,  -8.11,  -4.83,   3.63
PAndAS-50         , 010150.6+481819, -3,  -5.82, <-6.20, <-1.34,       , <-6.10, <-1.24,       
LGS 3             , 010355.0+215306, 10,  -9.26, <-6.85, <-2.67, > 2.00,  -5.23,  -1.05,   0.38
IC1613            , 010447.8+020760, 10, -14.62,  -2.35,  -0.31,   0.28,  -2.04,   0.00,  -0.03
And X             , 010633.7+444816, -3,  -6.56,  -5.51,  -0.95,   1.04, <-6.39, <-1.83, > 1.92
UGC00685          , 010722.3+164102,  9, -14.44,  -2.25,  -0.14,   0.18,  -2.27,  -0.16,   0.20
KKH5              , 010732.5+512625, 10, -12.74,  -2.62,   0.17,  -0.19,       ,       ,       
PAndAS-C02        , 010753.9+482242, -3,  -4.83,       ,       ,       , <-6.05, <-0.80,       
AM0106-382        , 010822.0-381233, 10, -13.36,  -2.33,   0.21,   0.04,  -2.30,   0.24,   0.01
DoIII             , 010924.6-272050, -1,  -8.49,       ,       ,       , <-5.25, <-1.46,       
NGC0404           , 010926.9+354303, -1, -16.43,  -1.50,  -0.62,  -0.46,  -2.23,  -1.35,   0.27
And V             , 011017.1+473741, -3,  -8.79,  -6.30,  -2.63,   2.05,       ,       ,       
DoI               , 011140.4+343603, -2,  -8.83,       ,       ,       , <-5.21, <-1.56,       
And XV            , 011418.7+380703, -3,  -7.70, <-6.59, <-2.49, > 2.28,       ,       ,       
And II            , 011629.8+332509, -3, -10.94,  -6.63,  -3.82,   2.20,  -6.05,  -3.24,   1.62
And XXIV          , 011830.0+462158, -3,  -6.94, <-6.60, <-2.19,       ,       ,       ,       
PiscesB           , 011911.7+110718, 10, -12.16,  -3.02,   0.00,   0.62,  -2.80,   0.22,   0.40
PAndAS-55         , 011920.4+460312, -3,  -4.79, <-6.33, <-1.06,       , <-6.40, <-1.13,       
Triangulum III    , 012141.3+262332, -2,  -3.97,       ,       ,       , <-6.29, <-0.69,       
PAndAS-56         , 012303.5+415511, -3,  -7.06, <-5.71, <-1.35,       , <-6.47, <-2.11,       
And XXII          , 012740.0+280525, -3,  -5.83,  -6.12,  -1.27,       , <-6.37, <-1.52,       
PAndAS-57         , 012747.5+404047, -3,  -5.18,       ,       ,       , <-6.40, <-1.29,       
UGC01056          , 012847.2+164117,  9, -15.54,  -1.66,  -0.06,  -0.28,  -1.86,  -0.26,  -0.08
PAndAS-58         , 012902.1+404708, -3,  -5.52,       ,       ,       , <-6.44, <-1.47,       
And XXIII         , 012921.8+384308, -3,  -9.00,  -6.05,  -2.46,       ,       ,       ,       
UGC01085          , 013118.9+074716,  9, -13.27,       ,       ,       ,  -2.17,   0.41,   0.12
UGC01104          , 013242.3+181857,  9, -15.19,  -2.01,  -0.23,   0.16,  -1.70,   0.08,  -0.15
AGC112454         , 013259.7+142224,  9, -13.90,  -2.35,  -0.03,   0.57,       ,       ,       
MESSIER033        , 013350.8+303937,  6, -18.98,  -0.35,   0.16,  -0.12,  -0.25,   0.26,  -0.22
AGC114027         , 013441.8+143840, 10, -12.84,  -2.85,  -0.10,   0.37,       ,       ,       
KKH6              , 013451.6+520530, 10, -13.09,  -3.05,  -0.21,   0.10, <-3.82, <-0.98, > 0.87
NGC0625           , 013505.0-412611,  8, -16.50,  -1.20,  -0.03,  -0.67,  -1.52,  -0.35,  -0.35
NGC628dwB         , 013623.2+155753, 10,  -7.62,       ,       ,       , <-4.09, < 0.75,       
NGC0628           , 013641.3+154712,  5, -20.56,   0.23,  -0.23,  -0.37,   0.14,  -0.32,  -0.28
NGC628dwA         , 013717.8+153758, 10, -11.97,       ,       ,       , <-3.90, <-0.81,       
dw0137+1607       , 013739.8+160755, -1,  -9.44,       ,       ,       ,  -4.39,  -0.98,       
AGC112503         , 013800.3+145858,  9, -12.55,  -2.72,   0.14,  -0.16,       ,       ,       
UGC01171          , 013944.8+155358, 10, -14.26,  -3.60,  -1.42,   1.43,  -2.52,  -0.34,   0.35
dw0139+1433       , 013950.6+143322, 10, -12.19,       ,       ,       ,  -2.99,   0.02,       
DDO013            , 014009.6+155417, 10, -15.69,  -1.57,   0.04,   0.36,  -1.48,   0.13,   0.27
AGC112521         , 014107.9+271926, 10, -11.39,  -4.20,  -0.87,   1.08,  -3.88,  -0.55,   0.76
KK13              , 014216.8+262204, 10, -13.29,  -2.92,  -0.35,   0.32,  -2.74,  -0.17,   0.14
KDG010            , 014341.4+154123, 10, -13.90,  -2.54,  -0.22,   0.47,  -3.01,  -0.69,   0.94
Dw0143+1338       , 014355.2+133842, -2, -12.08,       ,       ,       , <-4.27, <-1.92,       
KK14              , 014442.7+271716, 10, -12.08,  -3.50,  -0.45,   1.17,  -2.94,   0.11,   0.61
ESO245-005        , 014503.6-433553,  9, -15.68,  -1.59,   0.02,   0.32,  -1.34,   0.27,   0.07
JKB142            , 014548.2+162241, 10, -11.90,  -2.11,   1.02,  -0.11,  -2.81,   0.32,   0.59
KK15              , 014641.6+264805, 10, -11.83,  -3.59,  -0.44,   0.93,  -3.02,   0.13,   0.36
N672dwB           , 014711.1+274060, 10,  -8.61, <-4.47, <-0.03,       , <-4.46, <-0.02,       
N672dwA           , 014719.1+271516, 10,  -9.83, <-4.45, <-0.50,       ,  -4.48,  -0.53,       
IC1727            , 014730.1+271952,  8, -17.84,  -1.10,  -0.45,   0.13,  -0.69,  -0.04,  -0.28
NGC0672           , 014753.2+272601,  6, -18.75,  -0.70,  -0.21,   0.05,  -0.45,   0.04,  -0.20
UGC01281          , 014932.3+323533,  7, -16.20,  -1.94,  -0.37,   0.35,  -1.61,  -0.04,   0.02
Phoenix           , 015106.3-442641, 10,  -9.55,       ,       ,       ,  -4.43,  -0.37,  -0.23
KK16              , 015520.6+275715, 10, -12.74,  -3.43,  -0.64,   0.42,  -3.00,  -0.21,  -0.01
KK17              , 020009.9+284957, 10, -11.54,  -3.53,  -0.42,   0.42,  -3.51,  -0.40,   0.40
NGC0784           , 020116.8+285037,  8, -16.69,  -1.46,   0.01,   0.12,  -1.33,   0.14,  -0.01
UGC01561          , 020405.0+241228,  9, -15.67,  -1.89,  -0.27,  -0.14,  -1.89,  -0.27,  -0.14
Cas1              , 020607.9+690036, 10, -17.38,  -1.08,   0.02,  -0.41,       ,       ,       
UGC01703          , 021255.8+324851, -2, -11.59,  -4.83,  -2.28,   1.28, <-4.83, <-2.28, > 1.28
Triangulum II     , 021317.4+361042, -2,  -1.24, <-9.16, <-2.47,       ,       ,       ,       
NGC0855           , 021403.7+275238,  0, -16.97,  -1.11,  -0.34,  -0.31,  -1.59,  -0.82,   0.17
Dw0214+2836       , 021409.6+283647, 10, -11.19,       ,       ,       ,  -3.37,   0.04,       
Segue 2           , 021916.0+201031, -3,  -2.31, <-9.14, <-2.88,       ,  -7.92,  -1.66,       
[TT2009] 25       , 022112.4+422151, 10, -12.44, <-4.35, <-1.44,       ,  -4.12,  -1.21,       
UGC01807          , 022113.4+424546,  8, -16.14,  -1.80,  -0.47,   0.49,  -1.65,  -0.32,   0.34
NGC0891           , 022232.8+422048,  3, -20.58,  -0.09,  -0.93,  -0.12,  -0.28,  -1.12,   0.07
[TT2009] 30       , 022254.7+424245, 10, -12.88, <-4.23, <-1.50,       ,  -4.21,  -1.48,       
KKH11             , 022435.0+560042, 10, -14.63,  -2.18,  -0.21,   0.50,       ,       ,       
[KK2000] 03       , 022442.7-733046, -3, -10.72,       ,       ,       , <-5.65, <-3.10, > 1.43
DDO019            , 022500.2+360216, 10, -14.44,  -1.82,   0.29,   0.29,  -1.65,   0.46,   0.12
d0226+3325        , 022652.8+332537, 10, -12.72,  -4.58,  -1.78,   2.73,       ,       ,       
