Name RAh_1 RAm_1 RAs_1 DE-_1 DEd_1 DEm_1 DEs_1 a26_1 b/a AB_1 l_FUVmag FUVmag Bmag l_Hamag Hamag Kmag f_Kmag l_21mag 21mag W50 TType Tdw1 Tdw2 RVel Dis f_Dis RAh_2 RAm_2 RAs_2 DE-_2 DEd_2 DEm_2 DEs_2 a26_2 inc Vm AB_2 BMag SBB logKLum logM26 l_logMHI logMHI VLG Theta1 MD Theta5 Thetaj
ESO245-005 1 45 3.6 - 43 35 53 3.8 0.89 0.07 "" 13.8 12.7 "" 16.1 10.3 "" "" 12.6 60 9 Im N 393 4.57 TRGB 1 45 3.6 - 43 35 53 5.11 30 51 0.01 -15.7 24.2 8.53 9.19 "" 8.6 307 -0.7 NGC0253 -0.6 -0.29
ESO269-037 13 3 33.6 - 46 35 3 1.2 0.75 0.57 "" 19.8 16.3 "" 22.6 13.4 * "" 19.5 15 10 Ir N 744 3.15 TRGB 13 3 33.6 - 46 35 3 1.23 47 3 0.0 -11.8 25.0 6.96 6.23 "" 5.51 481 1.0 NGC4945 1.2 1.88
ESO269-058 13 10 32.9 - 46 59 27 4.68 0.6 0.46 "" 16.7 13.3 "" 20.7 9.0 "" "" 15.3 62 9 Ir L 400 3.75 TRGB 13 10 32.9 - 46 59 27 5.52 62 30 0.0 -15.0 25.0 8.86 8.77 "" 7.37 140 1.4 NGC5128 1.6 1.87
ESO269-066 13 13 9.2 - 44 53 24 2.14 0.86 0.4 > 23.0 14.6 > 25.4 10.1 * > 21.4 "" -1 Sph L 784 3.75 TRGB 13 13 9.2 - 44 53 24 2.53 34 "" 0.0 -13.7 24.7 8.42 "" < 4.92 528 2.0 NGC5128 2.1 1.88
ESO270-017 13 34 47.3 - 45 32 51 15.85 0.12 0.48 "" "" 11.7 "" 15.6 8.2 "" "" 12.1 147 8 "" "" 827 6.95 TRGB 13 34 47.3 - 45 32 51 32.66 90 64 0.5 -18.5 25.4 9.75 10.19 "" 9.17 583 -1.4 NGC5236 -1.0 ""
ESO272-025 14 43 25.5 - 44 42 19 1.58 0.5 0.69 "" "" 14.8 "" 18.7 12.3 "" "" 17.0 42 10 Ir N 631 3.91 TRGB 14 43 25.5 - 44 42 19 2.04 72 17 0.0 -13.9 24.0 7.61 7.86 "" 6.74 429 "" "" "" ""
ESO273-014 14 58 30.3 - 47 41 55 3.8 0.73 1.32 "" "" 12.9 "" "" 9.8 "" "" 11.8 185 7 "" "" 1050 9.9 TF 14 58 30.3 - 47 41 55 14.39 44 118 0.17 -18.6 23.5 9.44 10.36 "" 9.61 851 -2.0 NGC5643 -1.6 ""
ESO274-001 15 14 13.5 - 46 48 45 13.49 0.1 1.11 "" "" 11.7 "" 15.4 8.4 "" "" 12.3 170 7 "" "" 524 2.79 TRGB 15 14 13.5 - 46 48 45 12.71 90 74 0.71 -17.4 24.5 8.92 9.91 "" 8.32 337 -0.5 NGC5128 -0.2 -0.29
ESO289-020 22 21 11.5 - 45 40 34 1.56 0.22 0.05 "" 17.6 15.8 "" "" 13.2 * "" 16.4 75 8 Sd "" 917 10.4 mem 22 21 11.5 - 45 40 34 4.49 80 33 0.0 -14.3 25.2 8.09 8.76 "" 7.8 897 -0.4 "6dF J2218489-461303" -0.1 -0.81
ESO294-010 0 26 33.3 - 41 51 20 1.51 0.64 0.02 "" 18.1 15.5 "" 21.1 14.1 "" "" 18.6 23 10 Tr N 107 2.03 TRGB 0 26 33.3 - 41 51 20 0.88 58 3 0.0 -11.0 25.0 6.3 5.95 "" 5.52 71 1.0 NGC0055 1.1 0.54
ESO300-014 3 9 37.8 - 41 1 50 7.08 0.52 0.07 "" 15.0 13.1 "" 17.4 10.0 "" "" 14.2 130 8 "" "" 955 9.8 TF 3 9 37.8 - 41 1 50 19.96 60 66 0.16 -17.1 25.7 9.3 10.0 "" 8.65 824 0.4 NGC1291 0.4 1.71
ESO300-016 3 10 10.5 - 40 0 11 1.45 0.72 0.08 "" 17.4 15.6 "" 20.5 13.1 * "" 15.9 37 10 Ir N 710 9.33 TRGB 3 10 10.5 - 40 0 11 3.94 50 18 0.0 -14.4 24.9 8.0 8.15 "" 7.91 583 "" "" "" ""
ESO301-010 3 23 16.0 - 40 40 50 1.2 0.58 0.05 > 23.0 16.4 "" "" 12.2 * "" "" "" -1 dE N "" 7.68 SBF 3 23 16.0 - 40 40 50 2.65 64 "" 0.0 -13.1 25.3 8.2 "" "" "" "" -0.4 NGC1291 -0.4 -0.81
ESO318-013 10 47 41.9 - 38 51 15 1.78 0.14 0.33 "" 16.9 15.0 "" "" 12.1 * "" 14.9 54 8 "" "" 718 6.92 TRGB 10 47 41.9 - 38 51 15 3.55 90 22 0.0 -14.6 24.5 8.18 8.32 "" 8.06 413 -0.7 NGC3621 -0.5 -1.43
ESO320-014 11 37 53.4 - 39 13 14 1.38 0.64 0.62 "" 18.8 15.9 "" "" 12.9 "" "" 16.4 40 10 Ir N 654 6.0 TRGB 11 37 53.4 - 39 13 14 2.71 58 18 0.0 -13.7 24.8 7.73 8.02 "" 7.32 362 -0.7 NGC3621 -0.5 -1.6
ESO321-014 12 13 49.6 - 38 13 53 1.41 0.43 0.4 "" 17.2 15.2 "" 19.3 12.7 "" "" 15.3 19 10 Ir N 609 3.33 TRGB 12 13 49.6 - 38 13 53 1.44 83 3 0.0 -12.8 24.3 7.29 6.03 "" 7.25 333 0.0 NGC5128 0.3 1.86
ESO324-024 13 27 37.4 - 41 28 50 3.31 0.72 0.47 "" 15.3 12.9 "" 16.5 10.4 "" "" 13.3 80 8 "" "" 514 3.78 TRGB 13 27 37.4 - 41 28 50 3.98 44 50 0.04 -15.5 23.8 8.35 9.06 "" 8.18 272 2.4 NGC5128 2.4 1.88
ESO325-011 13 45 0.8 - 41 51 32 3.16 0.48 0.38 "" "" 14.0 "" 16.4 11.3 "" "" 13.8 58 10 Ir L 544 3.4 TRGB 13 45 0.8 - 41 51 32 3.3 75 26 0.0 -14.0 24.9 7.86 8.4 "" 7.87 311 1.2 NGC5128 1.3 1.88
ESO347-017 23 26 56.1 - 37 20 49 1.91 0.34 0.07 "" 15.7 14.7 "" 17.7 12.3 * "" 14.9 69 9 Im N 691 8.42 TRGB 23 26 56.1 - 37 20 49 4.54 90 30 0.0 -15.0 24.6 8.25 8.68 "" 8.23 701 "" "" "" ""
ESO348-009 23 49 23.4 - 37 46 25 2.29 0.36 0.06 "" 16.4 14.8 "" 19.3 12.4 * "" 14.5 85 10 Ir L 647 11.5 TF 23 49 23.4 - 37 46 25 7.45 90 37 0.0 -15.6 25.1 8.47 9.07 "" 8.64 647 -2.4 NGC7424 -1.8 ""
ESO349-031 0 8 13.3 - 34 34 42 1.23 0.82 0.05 "" 17.1 15.7 "" 21.4 13.0 "" "" 15.5 30 10 Ir L 221 3.21 TRGB 0 8 13.3 - 34 34 42 1.15 39 14 0.0 -11.9 24.8 7.12 7.41 "" 7.13 230 0.2 NGC0253 0.3 1.75
ESO364-029 6 5 45.4 - 33 4 54 3.55 0.71 0.19 "" "" 13.7 "" 17.1 10.3 "" "" 14.3 76 9 Im N 787 9.04 TRGB 6 5 45.4 - 33 4 54 9.59 51 43 0.01 -16.3 24.9 9.12 9.31 "" 8.53 554 -0.7 NGC2090 -0.5 0.9
ESO373-007 9 32 45.4 - 33 14 44 1.29 0.54 0.58 "" 19.5 16.4 "" "" 13.5 * "" 16.2 44 10 Ir L 862 9.77 TRGB 9 32 45.4 - 33 14 44 4.05 68 19 0.0 -14.1 25.2 7.9 8.23 "" 7.83 556 0.8 ESO373-008 0.8 0.39
ESO373-008 9 33 21.5 - 33 2 0 6.43 0.13 0.48 "" "" 12.7 "" "" 8.9 "" "" 13.2 210 6 Scd "" 925 9.68 TF 9 33 21.5 - 33 2 0 18.53 90 93 0.85 -18.5 24.1 9.78 10.27 "" 9.04 619 "" "" "" ""
ESO376-016 10 43 27.1 - 37 2 33 0.69 0.56 0.25 "" "" 15.5 "" "" 13.0 * "" 14.9 41 10 Ir N 670 6.92 TRGB 10 43 27.1 - 37 2 33 1.44 66 17 0.0 -13.9 23.2 7.82 7.7 "" 8.04 366 -0.6 NGC3621 -0.4 -1.08
ESO379-007 11 54 43.0 - 33 33 29 0.93 0.73 0.32 "" "" 16.6 "" 21.7 13.6 "" "" 15.7 28 10 Ir L 644 5.45 TRGB 11 54 43.0 - 33 33 29 1.56 49 10 0.0 -12.4 24.9 7.35 7.25 "" 7.54 367 -1.0 NGC5236 -0.5 -1.37
ESO379-024 12 4 56.7 - 35 44 35 0.74 0.75 0.33 "" "" 16.6 "" "" 13.9 * "" 16.1 28 10 Ir N 632 5.46 TRGB 12 4 56.7 - 35 44 35 1.25 47 10 0.0 -12.4 24.4 7.23 7.13 "" 7.38 356 "" "" "" ""
ESO381-018 12 44 42.7 - 35 58 0 0.79 0.58 0.27 "" "" 15.7 "" "" 13.5 "" "" 16.0 28 10 Ir N 624 5.45 TRGB 12 44 42.7 - 35 58 0 1.31 64 8 0.0 -13.2 23.7 7.39 6.96 "" 7.41 367 -0.4 NGC5236 -0.2 -1.04
ESO381-020 12 46 0.4 - 33 50 17 2.82 0.4 0.28 "" 15.6 14.4 "" 17.0 12.1 "" "" 13.6 78 10 Ir L 589 5.47 TRGB 12 46 0.4 - 33 50 17 4.59 90 34 0.0 -14.5 25.1 7.95 8.79 "" 8.37 336 -0.3 NGC5236 -0.2 -0.79
ESO383-087 13 49 18.8 - 36 3 41 5.62 0.8 0.31 "" 13.7 11.0 "" 15.2 8.2 "" "" 13.8 33 8 "" "" 326 3.19 TRGB 13 49 18.8 - 36 3 41 5.53 37 18 0.0 -16.8 23.2 9.05 8.32 "" 7.82 108 0.4 NGC5128 0.6 1.87
ESO384-016 13 57 1.6 - 35 20 2 1.32 0.69 0.32 "" 19.2 15.1 > 23.9 12.0 "" "" 17.4 17 9 BCD N 561 4.49 TRGB 13 57 1.6 - 35 20 2 1.82 53 3 0.0 -13.5 24.1 7.83 6.32 "" 6.69 350 0.4 NGC5236 0.5 1.65
ESO409-015 0 5 31.8 - 28 5 53 1.2 0.46 0.07 "" 16.1 15.2 "" 17.2 12.7 * "" 15.3 53 9 Im N 726 8.71 TRGB 0 5 31.8 - 28 5 53 3.0 78 23 0.0 -14.6 24.1 8.1 8.25 "" 8.1 769 -1.9 IC5332 -1.4 -2.05
ESO410-005 0 15 31.4 - 32 10 48 1.62 0.77 0.06 "" 18.4 14.9 > 25.9 12.5 * "" 17.5 23 10 Tr N 36 1.93 TRGB 0 15 31.4 - 32 10 48 0.91 45 4 0.0 -11.6 24.5 6.89 6.13 "" 5.91 53 0.1 NGC0055 0.3 0.5
ESO443-009 12 54 53.6 - 28 20 27 0.71 0.75 0.28 "" 18.4 17.0 "" "" 14.4 * "" 16.8 29 10 Ir L 645 5.97 TRGB 12 54 53.6 - 28 20 27 1.29 47 11 0.0 -12.2 24.7 7.11 7.25 "" 7.16 409 -0.5 NGC5236 -0.4 -1.16
ESO444-084 13 37 20.2 - 28 2 46 1.35 0.77 0.3 "" 16.6 15.1 "" 18.6 12.6 "" "" 14.4 56 10 Ir N 587 4.61 TRGB 13 37 20.2 - 28 2 46 1.91 45 34 0.0 -13.6 24.2 7.61 8.4 "" 7.9 380 1.4 NGC5236 1.4 1.64
ESO473-024 0 31 22.5 - 22 45 57 1.55 0.59 0.08 "" 16.9 16.4 "" 19.1 14.0 * "" 15.4 48 10 Ir N 530 9.9 TF 0 31 22.5 - 22 45 57 4.44 63 22 0.0 -13.7 25.9 7.72 8.4 "" 8.18 584 -1.9 PGC001242 -1.6 -1.09
ESO483-013 4 12 41.1 - 23 9 32 1.58 0.54 0.22 "" 16.2 14.1 "" 17.8 10.8 "" "" 16.1 74 9 BCD N 898 7.4 TF 4 12 41.1 - 23 9 32 3.49 68 34 0.0 -15.5 23.5 8.72 8.68 "" 7.63 780 -1.6 NGC1291 -1.4 ""
ESO486-021 5 3 19.7 - 25 25 23 1.51 0.76 0.14 "" 15.6 14.4 "" 17.6 11.4 "" "" 14.7 65 9 BCD N 831 10.0 mem 5 3 19.7 - 25 25 23 4.49 46 39 0.0 -15.8 23.8 8.74 8.9 "" 8.47 664 0.8 NGC1744 0.8 0.17
ESO489-056 6 26 17.0 - 26 15 56 0.72 0.5 0.28 "" "" 15.7 "" 19.3 13.1 * "" 16.4 24 10 Ir N 492 6.31 TRGB 6 26 17.0 - 26 15 56 1.37 72 3 0.0 -13.6 23.4 7.68 6.04 "" 7.36 263 -1.2 ESO490-017 -1.1 -1.13
ESO490-017 6 37 56.6 - 25 59 59 1.7 0.76 0.34 "" "" 14.0 "" 17.3 12.0 "" "" 15.1 39 10 Ir N 505 6.34 TRGB 6 37 56.6 - 25 59 59 3.33 46 21 0.0 -15.3 23.6 8.13 8.22 "" 7.9 269 -1.7 ESO489-056 -1.4 -1.57
ESO495-008 8 21 0.7 - 23 46 53 0.69 0.28 0.49 "" "" 16.1 "" 19.7 13.2 * "" 16.4 99 10 Ir N 789 17.3 TF 8 21 0.7 - 23 46 53 3.68 90 43 0.06 -15.7 23.5 8.52 8.9 "" 8.26 512 0.0 NGC2559 0.1 -0.08
ESO495-021 8 36 15.2 - 26 24 34 2.09 0.77 0.48 "" "" 12.5 "" 14.2 9.0 "" "" 14.7 117 9 BCD H 868 8.24 TRGB 8 36 15.2 - 26 24 34 5.5 45 72 0.08 -17.7 22.3 9.56 9.52 "" 8.28 581 -1.1 NGC2784 -0.8 -0.57
ESO496-010 8 49 6.0 - 26 19 12 1.05 0.66 0.43 "" 17.8 14.8 "" "" 11.9 "" "" 16.1 61 9 BCD N 814 8.59 TRGB 8 49 6.0 - 26 19 12 2.82 56 31 0.0 -15.3 23.3 8.43 8.51 "" 7.76 524 -0.6 ESO495-021 -0.3 0.31
ESO497-004 9 3 3.1 - 23 48 30 1.12 0.23 1.01 "" 19.2 15.1 "" 20.8 11.5 * "" 15.5 95 8 Sm "" 806 11.17 TF 9 3 3.1 - 23 48 30 4.28 79 42 0.05 -16.3 23.2 8.85 8.95 "" 8.23 519 -0.6 NGC2784 -0.3 -0.33
ESO499-038 10 3 50.2 - 26 36 46 0.83 0.55 0.3 "" 16.8 15.7 "" "" 13.1 * "" 14.9 77 10 Ir N 885 12.2 BTF 10 3 50.2 - 26 36 46 3.08 67 36 0.0 -15.1 23.7 8.27 8.67 "" 8.53 591 -1.0 NGC2997 -0.6 ""
ESO501-023 10 35 23.2 - 24 45 15 3.47 0.79 0.27 "" 14.7 13.2 "" "" 10.3 * "" 13.7 63 8 "" "" 1042 10.2 TF 10 35 23.2 - 24 45 15 10.8 38 44 0.01 -17.1 24.4 9.2 9.38 "" 8.86 756 -1.0 ESO501-080 -0.5 -0.46
ESO540-032 0 50 24.6 - 19 54 25 1.51 0.92 0.09 "" 19.7 16.4 "" 24.1 14.0 * "" 18.6 17 10 Ir L 228 3.63 TRGB 0 50 24.6 - 19 54 25 1.62 26 6 0.0 -11.5 25.9 6.83 6.8 "" 6.03 285 1.4 NGC0247 1.7 1.74
ESO553-046 5 27 5.7 - 20 40 41 1.12 0.71 0.19 "" 15.5 14.6 "" 16.2 12.0 "" "" 16.3 62 9 BCD N 541 6.7 TRGB 5 27 5.7 - 20 40 41 2.25 51 35 0.0 -14.7 23.4 8.17 8.49 "" 7.46 370 -2.1 NGC1291 -1.6 ""
ESO558-011 7 6 56.8 - 22 2 26 1.82 0.56 1.64 "" "" 14.4 "" 18.4 10.2 * "" 15.3 125 8 "" "" 731 7.16 TRGB 7 6 56.8 - 22 2 26 5.28 57 65 0.14 -16.6 23.3 9.0 9.41 "" 7.93 489 -2.3 NGC2784 -1.6 ""
ESO565-003 9 23 9.9 - 20 10 3 0.72 0.67 0.27 "" 17.5 15.5 "" 19.4 12.9 * "" 16.9 31 10 Ir N 829 10.67 NAM 9 23 9.9 - 20 10 3 2.35 55 12 0.0 -14.9 23.3 8.2 7.56 "" 7.63 549 -0.4 NGC2784 -0.2 -0.2
ESO572-034 11 58 58.1 - 19 1 48 1.32 0.51 0.17 "" "" 14.3 "" 16.6 11.5 "" "" 15.2 67 9 BCD H 1114 10.52 TRGB 11 58 58.1 - 19 1 48 4.07 71 31 0.0 -16.0 23.4 8.76 8.65 "" 8.3 871 -0.8 NGC4594 -0.6 ""
EVCC2232 12 50 4.7 - 0 13 57 0.61 0.82 0.08 > 23.5 19.2 "" "" 15.0 * "" "" "" -2 Sph L 754 6.01 NAM 12 50 4.7 - 0 13 57 1.08 41 "" 0.0 -9.8 26.7 6.86 "" "" "" 608 -1.4 NGC4594 -0.9 -0.36
"EZOA J2120+45" 21 20 46.2 + 45 16 22 0.89 0.53 3.62 "" "" 16.3 "" "" 10.0 "" "" 14.8 100 9 Im N 261 7.73 NAM 21 20 46.2 + 45 16 22 4.27 69 47 0.05 -16.8 22.7 9.22 9.03 "" 8.17 576 -1.0 NGC6946 -0.9 ""
"Eridanus 2" 3 44 21.1 - 43 31 59 3.1 0.6 0.04 "" "" 17.0 "" "" 12.9 * > 20.1 16 -3 Sph X 76 0.36 HB 3 44 21.1 - 43 31 59 0.32 71 3 0.0 -5.8 28.0 5.29 5.42 < 3.4 -87 0.9 "Milky Way" 1.0 1.75
"Eridanus 3" 2 22 45.5 - 52 17 1 1.1 0.73 0.09 "" "" 18.4 "" "" 14.2 * > 17.5 "" -3 Sph L "" 0.09 HB 2 22 45.5 - 52 17 1 0.03 54 "" 0.0 -1.4 27.2 3.51 "" < 3.21 "" 2.8 "Milky Way" 3.0 1.75
F8D1 9 44 47.1 + 67 26 19 2.19 0.91 0.41 > 23.0 16.8 "" 22.9 12.3 * > 18.2 "" -3 Sph L -125 3.75 TRGB 9 44 47.1 + 67 26 19 2.69 29 "" 0.0 -11.5 27.0 7.54 "" < 6.2 8 2.6 MESSIER081 2.7 1.91
FG202 7 5 17.1 - 58 31 14 1.95 0.47 0.51 "" "" 15.0 "" 18.0 12.1 * "" 13.6 66 10 Ir L 564 5.3 TRGB 7 5 17.1 - 58 31 14 3.25 76 29 0.0 -14.2 24.7 7.92 8.51 "" 8.34 279 -2.0 NGC5128 -1.4 -2.18
FGC1497 12 47 0.6 + 32 39 5 1.07 0.17 0.06 "" 18.8 16.8 "" "" 14.1 * "" 17.0 91 8 "" "" 519 23.4 TF 12 47 0.6 + 32 39 5 6.88 84 40 0.01 -15.1 25.4 8.4 9.1 "" 8.26 521 -2.2 NGC4321 -1.6 ""
FM1 9 45 10.0 + 68 45 54 0.89 0.89 0.31 > 23.0 16.3 "" 24.2 12.0 * > 18.2 "" -3 Sph L "" 3.78 TRGB 9 45 10.0 + 68 45 54 1.07 33 "" 0.0 -11.9 24.6 7.7 "" < 6.21 "" 2.9 MESSIER081 2.9 1.91
FS04 10 42 0.3 + 12 20 6 1.0 0.46 0.11 "" 18.7 15.7 "" "" 13.0 * "" 17.3 36 8 "" "" 772 10.4 mem 10 42 0.3 + 12 20 6 3.0 64 14 0.0 -14.5 24.2 8.15 7.86 "" 7.46 621 1.8 NGC3368 1.9 2.1
Fluffy 13 18 10.9 - 44 9 26 0.07 0.9 0.39 "" "" 18.5 "" "" 14.0 * "" "" "" -1 dE H 719 3.68 mem 13 18 10.9 - 44 9 26 0.08 29 "" 0.0 -9.7 21.1 6.84 "" "" "" 467 2.8 NGC5128 2.8 1.88
Fornax 2 39 54.7 - 34 31 33 17.78 0.7 0.05 "" 20.7 9.3 "" "" 5.1 * > 13.6 22 -3 Sph L 29 0.14 TRGB 2 39 54.7 - 34 31 33 0.72 58 3 0.0 -11.5 24.1 7.55 5.87 < 5.19 -56 2.1 "Milky Way" 2.2 1.75
"GALFA Dw3" 2 58 56.5 + 13 37 45 0.55 0.3 0.56 "" 18.8 18.0 "" 22.1 15.1 * "" 18.1 19 10 Ir L 529 7.62 TRGB 2 58 56.5 + 13 37 45 1.31 90 3 0.0 -12.0 24.9 7.04 5.98 "" 6.84 622 -2.0 Maffei2 -1.4 ""
"GALFA Dw4" 5 45 44.8 + 10 46 16 0.53 0.54 2.28 "" "" 17.8 "" 19.5 13.4 * "" 18.1 41 10 Ir N 615 7.22 TF 5 45 44.8 + 10 46 16 1.78 68 17 0.0 -13.8 23.8 7.76 7.78 "" 6.81 550 -2.0 Orion -1.5 -0.53
GARLAND 10 3 42.0 + 68 41 36 3.98 0.6 0.29 "" 17.0 16.8 "" 17.3 14.2 * > 14.9 "" 10 Ir X 43 3.82 TRGB 10 3 42.0 + 68 41 36 4.61 62 "" 0.0 -11.4 28.2 6.81 "" < 7.54 183 3.0 NGC3077 3.1 1.89
"GBT 1355+5439" 13 54 50.6 + 54 38 50 "" "" 0.04 "" "" "" "" "" "" * "" 17.3 27 11 HIcld "" 210 6.95 mem 13 54 50.6 + 54 38 50 "" "" "" "" "" "" "" "" "" 7.1 345 2.3 MESSIER101 2.3 1.56
GR34 12 22 7.6 + 15 47 57 0.93 0.82 0.11 "" 19.0 15.9 "" 22.3 13.4 * "" 18.2 25 10 Ir L 1298 9.29 TRGB 12 22 7.6 + 15 47 57 2.55 39 5 0.0 -14.1 24.3 7.88 6.89 "" 6.97 1205 0.3 NGC4382 0.6 1.69
GR8 12 58 40.4 + 14 13 3 1.66 0.91 0.11 "" 15.4 14.8 "" 17.2 12.9 "" "" 15.2 26 10 Ir N 217 2.19 TRGB 12 58 40.4 + 14 13 3 1.08 27 11 0.0 -12.0 24.5 6.84 7.15 "" 6.92 139 -1.4 "Milky Way" -0.8 -2.04
Grapes 11 52 5.6 + 54 47 32 0.27 0.74 0.03 "" "" 18.5 "" 22.9 16.1 * "" "" "" 10 Ir L 321 5.96 TRGB 11 52 5.6 + 54 47 32 0.47 48 "" 0.0 -10.4 24.2 6.42 "" "" "" 408 "" "" "" ""
"Grus 1" 22 56 42.4 - 50 9 48 3.5 0.59 0.03 "" "" 17.7 "" "" 13.6 * > 17.5 7 -3 Sph X -140 0.12 HB 22 56 42.4 - 50 9 48 0.12 73 3 0.0 -2.7 29.0 4.04 4.98 < 3.48 -190 2.4 "Milky Way" 2.5 1.75
"HIDEEP J1337-33" 13 37 0.6 - 33 21 47 0.2 0.95 0.21 "" 19.5 17.3 > 24.2 14.8 * "" 17.4 20 10 Ir N 591 4.55 TRGB 13 37 0.6 - 33 21 47 0.28 20 7 0.0 -11.2 22.3 6.73 6.23 "" 6.71 371 0.9 NGC5236 1.0 1.65
"HIJASS J1021+6842" 10 21 0.2 + 68 42 0 "" "" 0.09 "" "" "" "" 22.0 "" * "" 14.9 50 11 Ir X 46 3.7 mem 10 21 0.2 + 68 42 0 "" "" "" "" "" "" "" "" "" 7.51 187 2.5 MESSIER081 2.6 1.89
"HIPASS J0457-42" 4 56 58.7 - 42 48 14 1.41 0.37 0.06 "" "" 14.5 "" 18.7 12.1 * "" 14.8 58 10 Ir N 657 6.95 TRGB 4 56 58.7 - 42 48 14 2.78 90 25 0.0 -14.8 23.7 8.18 8.29 "" 8.1 448 -1.6 NGC1291 -1.3 ""
"HIPASS J0517-32" 5 17 21.6 - 32 45 35 0.68 0.59 0.07 "" 17.3 15.7 "" "" 13.3 * "" 16.0 65 9 Im H 798 9.32 TRGB 5 17 21.6 - 32 45 35 1.83 63 32 0.0 -14.2 23.4 7.93 8.33 "" 7.89 599 "" "" "" ""
"HIPASS J0607-34" 6 7 19.7 - 34 12 16 1.02 0.67 0.15 "" "" 14.1 "" 18.0 11.5 "" "" 14.9 127 9 BCD N 765 9.64 TRGB 6 7 19.7 - 34 12 16 2.92 55 68 0.1 -16.1 22.6 8.69 9.19 "" 8.32 529 -0.5 NGC2090 -0.3 0.85
"HIPASS J0630+08" 6 30 9.2 + 8 21 16 "" "" 2.95 "" "" 19.0 "" 24.6 "" * "" 15.7 33 10 Ir N 367 5.13 BTF 6 30 9.2 + 8 21 16 "" "" "" "" -12.5 "" "" "" "" 7.48 259 -2.1 Maffei2 -1.6 ""
"HIPASS J0705-20" 7 5 45.0 - 20 59 30 "" "" 2.71 "" "" "" "" 22.5 "" * "" 14.6 29 0 "" "" 766 11.97 NAM 7 5 45.0 - 20 59 30 "" "" "" "" "" "" "" "" "" 8.65 528 -0.9 HIZSS008 -0.7 ""
"HIPASS J0801-21" 8 1 25.4 - 21 59 51 0.48 0.55 0.96 "" "" 17.2 > 22.3 14.0 * "" 16.0 56 10 Ir N 730 10.42 NAM 8 1 25.4 - 21 59 51 1.74 67 26 0.0 -13.9 23.7 7.79 8.14 "" 7.97 463 -0.9 ESO494-025 -0.5 ""
"HIPASS J0905-36" 9 6 0.0 - 36 3 36 0.5 0.75 1.82 > 23.0 17.4 "" "" 13.4 * "" 15.4 70 10 Ir N 886 12.4 BTF 9 6 0.0 - 36 3 36 2.65 47 42 0.01 -14.9 23.5 8.21 8.73 "" 8.35 579 -1.4 NGC2997 -1.0 ""
"HIPASS J0916-23b" 9 16 58.0 - 23 16 47 0.66 0.37 0.47 "" 18.3 15.0 "" 20.8 12.2 * "" 17.1 40 10 Ir N 837 10.3 mem 9 16 58.0 - 23 16 47 2.11 90 15 0.0 -15.6 22.4 8.47 7.76 "" 7.51 550 0.6 NGC2784 0.7 1.57
"HIPASS J1131-31" 11 31 35.2 - 31 40 20 0.18 0.6 0.3 "" 19.2 18.2 "" "" 15.5 * "" 16.6 30 10 Ir L 715 6.9 TRGB 11 31 35.2 - 31 40 20 0.38 62 10 0.0 -11.3 22.9 6.79 6.63 "" 7.35 432 0.4 NGC3621 0.4 1.09
"HIPASS J1133-32" 11 33 11.0 - 32 57 43 0.52 0.5 0.26 "" "" 16.3 "" "" 13.7 * "" 16.3 30 10 Ir N 709 5.6 TRGB 11 33 11.0 - 32 57 43 0.88 72 9 0.0 -12.7 23.3 7.34 6.93 "" 7.32 424 -0.7 NGC3621 -0.5 -1.37
"HIPASS J1247-77" 12 47 32.6 - 77 35 1 0.66 0.48 3.2 "" "" 18.0 "" "" 13.5 "" "" 15.6 32 10 Ir L 413 3.47 TRGB 12 47 32.6 - 77 35 1 1.29 75 11 0.0 -12.9 24.0 7.1 7.23 "" 7.19 154 -0.6 CIRCINUS -0.3 -2.24
"HIPASS J1258-04" 12 58 49.6 - 4 53 19 0.85 0.42 0.11 "" 16.8 15.3 "" 19.1 12.8 * "" 15.7 46 10 Ir N 1318 6.5 TF 12 58 49.6 - 4 53 19 1.59 87 19 0.0 -13.9 23.4 7.82 7.81 "" 7.67 1199 -1.2 NGC4594 -0.9 -2.21
"HIPASS J1337-39" 13 37 25.1 - 39 53 52 0.52 0.83 0.32 "" 17.8 16.5 > 24.2 13.8 "" "" 15.4 37 10 Ir N 492 5.08 TRGB 13 37 25.1 - 39 53 52 0.83 38 22 0.0 -12.4 23.5 7.21 7.67 "" 7.6 258 0.0 NGC5236 0.2 1.61
"HIPASS J1348-37" 13 48 33.9 - 37 58 3 0.47 0.8 0.33 "" "" 17.6 "" "" 14.9 "" "" 16.4 39 10 Ir L 582 5.65 TRGB 13 48 33.9 - 37 58 3 0.82 41 23 0.0 -11.5 24.4 6.87 7.69 "" 7.28 359 -0.2 NGC5236 -0.1 -0.37
"HIPASS J1351-47" 13 51 22.0 - 47 0 0 0.56 0.6 0.62 "" "" 17.5 "" "" 14.6 "" "" 16.1 39 10 Ir L 529 5.73 TRGB 13 51 22.0 - 47 0 0 1.05 62 17 0.0 -11.9 24.5 7.01 7.53 "" 7.42 291 -0.9 NGC5236 -0.5 -0.53
"HIPASS J1441-62" 14 41 42.7 - 62 46 2 0.3 0.65 5.71 "" "" 20.5 "" "" 12.9 * "" 15.9 52 10 Ir L 672 5.32 NAM 14 41 42.7 - 62 46 2 1.58 57 26 0.0 -13.8 23.5 7.79 8.09 "" 7.44 440 -0.6 CIRCINUS -0.4 ""
