Name RAh_1 RAm_1 RAs_1 DE-_1 DEd_1 DEm_1 DEs_1 a26_1 b/a AB_1 l_FUVmag FUVmag Bmag l_Hamag Hamag Kmag f_Kmag l_21mag 21mag W50 TType Tdw1 Tdw2 RVel Dis f_Dis RAh_2 RAm_2 RAs_2 DE-_2 DEd_2 DEm_2 DEs_2 a26_2 inc Vm AB_2 BMag SBB logKLum logM26 l_logMHI logMHI VLG Theta1 MD Theta5 Thetaj
AGC198507A 9 15 24.0 + 25 24 54 0.18 0.39 0.12 "" "" 20.8 "" "" 18.3 * "" "" "" 10 Ir L "" 10.94 mem 9 15 24.0 + 25 24 54 0.57 90 "" 0.0 -9.5 25.6 6.06 "" "" "" "" 0.8 AGC198507 0.8 -2.31
AGC198508 9 22 57.0 + 24 56 48 0.38 0.57 0.16 "" 18.3 17.8 "" 20.2 15.3 * "" 18.5 29 10 Ir N 519 9.82 TRGB 9 22 57.0 + 24 56 48 1.1 65 9 0.0 -12.3 24.2 7.18 6.99 "" 6.92 424 -0.3 NGC2903 -0.2 -1.29
AGC198691 9 43 32.4 + 33 26 58 0.14 0.74 0.05 "" 20.1 19.8 "" 21.5 17.4 * "" 18.1 33 10 Ir N 514 12.02 TRGB 9 43 32.4 + 33 26 58 0.49 48 15 0.0 -10.6 24.1 6.5 7.09 "" 7.26 464 -1.5 NGC3184 -1.1 ""
AGC198712 9 59 10.3 + 36 2 23 0.29 0.3 0.04 "" 19.3 18.4 "" "" 16.0 * "" 18.1 36 10 Ir N 550 10.81 NAM 9 59 10.3 + 36 2 23 0.88 90 13 0.0 -11.8 24.2 6.97 7.23 "" 7.15 515 -0.8 NGC3184 -0.6 -0.79
AGC200499 10 38 8.0 + 10 22 51 0.85 0.78 0.12 "" "" 14.4 "" 19.0 11.6 "" "" 15.2 178 9 BCD H 1175 25.12 TF 10 38 8.0 + 10 22 51 6.32 44 113 0.13 -17.9 22.5 9.5 9.97 "" 9.06 1013 -2.8 NGC4321 -2.2 ""
AGC202248 10 34 56.1 + 11 29 32 0.37 0.74 0.08 "" 19.2 17.5 "" "" 15.1 * "" 18.0 62 10 Ir N 1177 22.18 NAM 10 34 56.1 + 11 29 32 2.41 48 36 0.0 -14.3 23.9 7.98 8.56 "" 7.84 1020 -2.6 NGC4321 -2.0 ""
AGC202256 11 14 45.0 + 12 38 51 0.4 0.61 0.08 "" 19.2 17.5 "" "" 15.1 * "" 17.9 42 10 Ir N 630 11.0 TF 11 14 45.0 + 12 38 51 1.27 61 19 0.0 -12.8 24.1 7.36 7.72 "" 7.25 490 1.7 NGC3627 2.0 2.13
AGC202257 11 19 14.4 + 11 57 7 1.09 0.4 0.07 "" 17.9 16.5 "" "" 14.1 * "" 16.1 51 10 Irr N 861 11.7 BTF 11 19 14.4 + 11 57 7 3.63 90 21 0.0 -13.9 25.2 7.8 8.28 "" 8.03 719 0.9 NGC3623 1.2 2.23
AGC202456 10 52 19.5 + 11 2 36 0.72 0.89 0.1 > 23.0 16.2 "" "" 12.0 * > 17.4 "" -1 dE N 824 10.4 mem 10 52 19.5 + 11 2 36 2.23 30 "" 0.0 -14.0 24.1 8.55 "" < 7.41 669 1.5 NGC3368 1.6 2.1
AGC205165 10 37 4.8 + 15 20 15 0.72 0.74 0.16 "" 18.9 16.4 "" "" 13.9 * "" 18.7 27 9 Im N 724 10.4 mem 10 37 4.8 + 15 20 15 2.24 48 8 0.0 -13.9 24.2 7.79 7.23 "" 6.87 586 0.2 NGC3377 0.7 1.91
AGC205278 10 58 52.1 + 14 7 46 0.54 0.68 0.08 "" 20.5 17.3 "" "" 14.9 * "" 18.5 36 10 Ir N 686 11.8 TF 10 58 52.1 + 14 7 46 1.85 54 16 0.0 -13.1 24.5 7.51 7.74 "" 7.06 548 1.2 NGC3489 1.3 1.94
AGC205445 10 44 35.3 + 13 56 23 0.6 0.84 0.14 "" 21.7 16.4 "" "" 12.2 * "" "" "" -1 Tr N 633 11.13 SBF 10 44 35.3 + 13 56 23 2.0 37 "" 0.0 -14.0 23.9 8.53 "" "" "" 490 1.3 NGC3379 1.4 2.05
AGC205540 10 51 31.4 + 14 6 53 0.32 0.62 0.14 "" 23.9 18.0 "" "" 15.5 * > 17.1 "" 10 Tr N 832 10.4 mem 10 51 31.4 + 14 6 53 0.97 60 "" 0.0 -12.2 24.0 7.14 "" < 7.53 691 1.7 NGC3377 1.8 2.14
AGC205544 10 52 4.8 + 15 1 50 0.45 0.8 0.09 > 23.0 17.1 "" "" 12.9 * > 17.4 "" -1 dE N 828 10.4 mem 10 52 4.8 + 15 1 50 1.37 41 "" 0.0 -13.1 23.9 8.18 "" < 7.41 692 1.1 NGC3377 1.3 1.96
AGC208397 10 38 58.1 + 3 52 27 0.17 0.6 0.17 "" 20.9 19.7 "" "" 17.2 * "" 18.3 33 10 Ir L 763 10.2 h' 10 38 58.1 + 3 52 27 0.51 62 12 0.0 -10.5 24.4 6.46 6.96 "" 7.01 573 -0.4 NGC3521 0.0 0.23
AGC208399 10 40 10.7 + 4 54 32 0.56 0.88 0.12 > 23.0 19.5 > 22.4 17.0 * "" 17.3 31 10 Ir L 747 10.1 BTF 10 40 10.7 + 4 54 32 1.68 32 18 0.0 -10.6 26.8 6.51 7.81 "" 7.41 561 -0.5 NGC3521 0.1 -0.61
AGC208477 10 9 19.8 + 27 56 44 0.22 0.68 0.1 "" 19.6 18.4 "" "" 16.0 * "" 18.5 22 9 BCD N 583 10.23 TRGB 10 9 19.8 + 27 56 44 0.66 54 3 0.0 -11.8 23.7 6.95 5.87 "" 6.94 505 "" "" "" ""
AGC213091 11 29 34.6 + 10 48 35 0.56 0.58 0.16 "" 21.9 18.5 "" "" 16.0 * > 18.0 "" 10 Ir N 743 11.12 mem 11 29 34.6 + 10 48 35 1.83 64 "" 0.0 -11.9 25.7 7.01 "" < 7.22 600 "" "" "" ""
AGC213436 11 22 24.0 + 12 58 46 0.52 0.98 0.11 "" 22.2 16.9 "" "" 12.7 * "" "" "" -1 dE N 626 11.66 SBF 11 22 24.0 + 12 58 46 1.82 13 "" 0.0 -13.5 24.1 8.36 "" "" "" 491 0.9 NGC3623 1.2 2.25
AGC215145 11 54 12.5 + 12 26 6 0.52 0.74 0.1 > 23.0 19.0 "" "" 16.6 * "" 17.0 32 10 Ir L 1004 8.2 BTF 11 54 12.5 + 12 26 6 1.25 48 14 0.0 -10.7 26.1 6.52 7.44 "" 7.38 880 -0.8 NGC4382 -0.4 0.27
AGC215248 11 33 50.9 + 14 3 15 0.43 0.86 0.13 "" 19.6 17.9 "" "" 15.5 * "" 19.1 19 9 BCD H 928 9.9 TF 11 33 50.9 + 14 3 15 1.26 34 4 0.0 -12.2 24.7 7.12 6.46 "" 6.69 802 "" "" "" ""
AGC215282 11 14 25.2 + 15 32 2 0.74 0.45 0.07 "" "" 16.6 "" "" 14.2 * "" 18.7 27 9 Im N 827 11.12 mem 11 14 25.2 + 15 32 2 2.35 79 6 0.0 -13.7 24.4 7.74 7.0 "" 6.93 701 "" "" "" ""
AGC215286 11 19 12.7 + 14 19 37 1.07 0.55 0.08 "" 21.4 16.8 "" "" 14.3 * "" 18.0 28 10 Tr L 998 11.7 TF 11 19 12.7 + 14 19 37 3.62 67 8 0.0 -13.7 25.5 7.71 7.38 "" 7.26 867 0.9 NGC3623 1.2 2.25
AGC215354 11 19 15.9 + 14 17 25 0.5 0.6 0.1 "" 20.9 17.4 "" "" 15.0 * > 17.4 "" 9 BCD N 790 10.28 mem 11 19 15.9 + 14 17 25 1.5 62 "" 0.0 -12.8 24.4 7.36 "" < 7.4 659 1.7 NGC3628 1.7 2.14
AGC215414 11 23 13.4 + 13 42 50 1.26 0.57 0.1 "" "" 17.8 "" "" 15.4 * "" 14.3 27 10 Irr L 878 11.12 mem 11 23 13.4 + 13 42 50 4.07 65 7 0.0 -12.5 26.8 7.27 7.31 "" 8.69 746 2.2 NGC3627 2.3 2.2
AGC215415 11 24 34.8 + 12 40 26 0.65 0.82 0.14 "" "" 18.6 "" "" 16.1 * "" 18.4 19 10 Tr L 1004 11.12 mem 11 24 34.8 + 12 40 26 2.15 39 4 0.0 -11.8 26.2 6.96 6.6 "" 7.07 868 2.1 NGC3627 2.1 2.13
AGC220847 12 37 14.0 + 29 37 51 0.81 0.55 0.06 "" 18.0 16.3 "" "" 13.8 "" "" 17.5 44 9 BCD N 795 8.44 TRGB 12 37 14.0 + 29 37 51 1.97 67 19 0.0 -13.4 24.4 7.65 7.92 "" 7.18 777 "" "" "" ""
AGC221126 12 56 18.0 + 34 39 25 1.44 0.85 0.04 "" 17.6 16.7 "" "" 14.3 * "" 15.4 48 9 Im N 731 9.5 BTF 12 56 18.0 + 34 39 25 3.98 35 34 0.0 -13.2 26.1 7.54 8.73 "" 8.13 748 -0.4 NGC5055 -0.1 0.09
AGC224291 12 41 39.2 + 1 50 17 0.5 0.71 0.08 "" 18.8 16.2 "" "" 13.8 * "" 18.0 24 9 Im N 1528 8.28 TF 12 41 39.2 + 1 50 17 1.21 51 3 0.0 -13.4 23.3 7.63 6.16 "" 6.96 1385 0.5 NGC4517 0.6 1.3
AGC227970 12 46 1.4 + 4 22 52 0.68 0.33 0.09 "" 18.4 16.0 "" "" 13.6 * "" 16.8 42 9 Im N 642 8.9 TF 12 46 1.4 + 4 22 52 1.72 90 16 0.0 -13.8 23.7 7.79 7.73 "" 7.52 512 0.5 NGC4586 0.6 1.41
AGC229053 12 18 15.5 + 25 34 6 0.49 0.48 0.12 "" 19.9 17.9 "" "" 15.4 * "" 17.7 40 10 Ir N 425 12.47 TRGB 12 18 15.5 + 25 34 6 1.77 75 16 0.0 -12.7 24.9 7.33 7.72 "" 7.45 376 -0.2 NGC4274 0.0 1.48
AGC229089 12 32 36.0 + 33 13 25 0.83 0.57 0.06 "" 17.9 16.6 "" "" 14.2 * "" 17.1 30 9 Im N 810 6.73 TF 12 32 36.0 + 33 13 25 1.61 65 10 0.0 -12.6 24.8 7.29 7.24 "" 7.13 807 0.1 NGC4631 0.2 1.31
AGC229379 12 30 34.0 + 23 12 20 0.27 0.73 0.06 "" 22.0 18.7 "" "" 16.3 * "" 18.5 22 10 Ir L 624 7.52 TRGB 12 30 34.0 + 23 12 20 0.59 49 3 0.0 -10.7 24.4 6.55 5.88 "" 6.7 571 -0.7 NGC4382 -0.3 0.08
AGC238890 13 32 30.3 + 25 7 25 0.83 0.63 0.06 "" "" 16.6 "" 22.9 14.2 * "" 18.5 20 9 BCD N 360 5.35 TRGB 13 32 30.3 + 25 7 25 1.29 59 3 0.0 -12.1 24.8 7.09 6.11 "" 6.37 356 -0.7 NGC4826 -0.5 -1.51
AGC239141 13 17 40.8 + 35 27 59 0.32 0.58 0.03 "" 19.5 18.5 "" "" 16.1 * "" 18.1 16 10 Ir L 326 3.75 NAM 13 17 40.8 + 35 27 59 0.34 64 3 0.0 -9.4 24.6 6.01 5.49 "" 6.23 359 -0.2 NGC4736 0.0 1.33
AGC322463 22 59 35.3 + 16 46 11 0.3 0.58 0.44 "" 19.4 17.2 "" 20.4 14.4 * "" 18.0 23 10 Ir N 363 7.97 TRGB 22 59 35.3 + 16 46 11 0.75 64 3 0.0 -12.8 22.9 7.35 5.83 "" 6.95 623 "" "" "" ""
AGC718245 9 58 16.2 + 21 5 20 0.7 0.84 0.09 "" 18.9 16.8 "" "" 14.4 * "" 18.2 15 10 Ir N 651 10.42 NAM 9 58 16.2 + 21 5 20 2.15 37 4 0.0 -13.4 24.6 7.6 6.64 "" 7.09 536 -1.0 NGC2903 -0.6 ""
AGC724906 12 30 56.0 + 26 30 40 0.38 0.91 0.08 "" 19.4 17.4 "" 24.3 15.0 * "" 17.7 22 10 Ir N 927 7.55 TF 12 30 56.0 + 26 30 40 0.85 27 5 0.0 -12.1 23.9 7.09 6.47 "" 7.02 890 -0.3 NGC4631 -0.1 1.4
AGC724993 12 38 30.0 + 29 3 18 0.61 0.87 0.05 "" 19.3 17.1 "" "" 14.7 * "" 17.4 37 9 Im N 756 9.2 TF 12 38 30.0 + 29 3 18 1.64 33 25 0.0 -12.8 24.6 7.36 8.07 "" 7.3 736 0.6 NGC4559 0.8 1.55
AGC731448 10 23 45.0 + 27 6 39 0.48 0.66 0.12 "" 18.5 16.6 "" "" 14.1 * "" 17.5 39 9 BCD N 540 10.0 TRGB 10 23 45.0 + 27 6 39 1.41 56 18 0.0 -13.5 23.5 7.66 7.71 "" 7.35 460 -0.5 NGC3344 -0.3 1.08
AGC731457 10 31 55.8 + 28 1 33 0.38 0.64 0.12 "" 18.1 16.8 "" 20.7 14.3 * "" 17.9 36 10 Ir N 454 10.52 TRGB 10 31 55.8 + 28 1 33 1.17 58 15 0.0 -13.4 23.2 7.62 7.5 "" 7.21 380 -0.6 NGC3344 -0.5 -0.6
AGC732009 12 13 48.4 + 29 57 32 0.47 0.71 0.08 "" 19.1 17.4 "" 19.8 15.0 * "" 18.4 44 10 Ir N 221 16.5 TF 12 13 48.4 + 29 57 32 2.26 51 23 0.0 -13.8 24.3 7.76 8.13 "" 7.41 192 0.7 PGC39764 0.8 1.78
AGC732602 13 21 4.8 + 24 8 36 0.62 0.43 0.04 "" 18.3 17.1 "" "" 14.7 * "" 17.6 27 10 Ir N 925 8.2 TF 13 21 4.8 + 24 8 36 1.43 83 6 0.0 -12.5 24.6 7.26 6.78 "" 7.11 908 -1.2 NGC4382 -0.7 ""
AGC740112 10 49 55.4 + 23 4 6 0.39 0.6 0.16 "" 24.0 17.8 "" "" 13.6 * "" 18.3 37 -1 Tr L 609 10.57 TRGB 10 49 55.4 + 23 4 6 1.22 62 15 0.0 -12.5 24.3 7.94 7.52 "" 7.04 513 -0.4 NGC3344 -0.1 1.08
AGC740666 11 15 21.4 + 19 14 32 0.57 0.62 0.07 "" "" 17.0 "" "" 14.6 * "" 18.1 41 9 Im N 676 6.85 NAM 11 15 21.4 + 19 14 32 1.13 60 18 0.0 -12.3 24.3 7.15 7.65 "" 6.75 568 -1.5 NGC3605 -1.0 -0.04
AGC748778 0 6 34.4 + 15 30 39 0.32 0.52 0.28 "" 20.3 18.9 "" 24.5 16.3 * "" 18.2 16 10 Ir L 258 6.22 TRGB 0 6 34.4 + 15 30 39 0.61 70 3 0.0 -10.4 24.9 6.39 5.7 "" 6.64 486 -1.9 NGC0253 -1.4 -2.72
AGC749236 12 25 42.4 + 26 48 36 0.62 0.51 0.1 "" "" 17.3 "" "" 14.9 * "" 16.5 53 10 Ir L 273 15.1 BTF 12 25 42.4 + 26 48 36 2.69 71 24 0.0 -13.7 24.8 7.73 8.24 "" 8.08 235 -0.1 NGC4565 0.3 0.35
AGC749241 12 40 1.7 + 26 19 19 0.34 0.84 0.06 "" 19.7 18.3 > 24.6 15.9 * "" 17.7 18 10 Ir L 451 5.62 TRGB 12 40 1.7 + 26 19 19 0.56 37 4 0.0 -10.5 24.5 6.46 6.06 "" 6.75 418 -0.8 NGC4826 -0.5 -0.59
AGC749315 10 29 6.4 + 26 54 38 0.11 0.86 0.1 "" 20.0 19.1 "" 23.9 16.7 * "" 18.6 31 9 BCD N 645 9.46 NAM 10 29 6.4 + 26 54 38 0.31 34 17 0.0 -10.9 22.9 6.6 7.01 "" 6.86 564 -0.2 NGC3344 -0.1 1.09
AM0106-382 1 8 22.0 - 38 12 33 0.72 0.56 0.05 "" 17.4 16.3 "" 19.2 13.9 * "" 16.5 38 10 Ir N 645 8.2 TF 1 8 22.0 - 38 12 33 1.71 66 15 0.0 -13.4 24.1 7.6 7.68 "" 7.58 605 -1.7 NGC1291 -1.5 ""
AM1320-230 13 23 29.9 - 23 23 35 0.69 0.57 0.35 "" 21.7 17.5 > 25.4 13.1 * > 19.7 "" -3 Tr L "" 4.9 mem 13 23 29.9 - 23 23 35 1.07 77 "" 0.0 -11.3 25.2 7.46 "" < 5.83 "" 0.5 NGC5236 0.7 1.64
AM1909-615 19 13 53.5 - 61 54 49 0.62 0.9 0.2 "" 21.5 16.1 "" "" 13.3 * "" 15.1 66 8 (Sm) "" 946 9.51 mem 19 13 53.5 - 61 54 49 1.78 26 65 0.03 -14.0 23.6 7.94 8.94 "" 8.26 821 1.4 NGC6744 1.4 1.66
AM2220-460 22 23 43.0 - 45 52 56 0.89 0.91 0.05 "" 17.4 16.4 "" "" 14.0 * "" 16.7 50 10 Ir L 877 8.8 mem 22 23 43.0 - 45 52 56 2.3 27 45 0.01 -13.4 24.7 7.62 8.74 "" 7.54 856 2.4 IC5201 2.4 0.77
"And I" 0 45 40.0 + 38 2 14 7.8 0.72 0.23 "" 22.1 14.0 "" 24.6 9.7 * > 16.3 25 -3 Sph L -376 0.73 TRGB 0 45 40.0 + 38 2 14 1.75 55 4 0.0 -10.6 27.0 7.17 6.43 < 5.53 -116 3.4 MESSIER031 3.4 1.75
"And II" 1 16 29.8 + 33 25 9 10.6 0.84 0.27 "" 21.7 13.4 "" 24.6 9.1 * > 16.3 18 -3 Sph L -194 0.65 TRGB 1 16 29.8 + 33 25 9 2.16 40 4 0.0 -10.9 27.1 7.33 6.58 < 5.44 40 2.0 MESSIER031 2.1 1.75
"And III" 0 35 33.8 + 36 29 52 4.0 0.41 0.1 > 23.0 15.6 "" 23.8 11.4 * > 16.3 20 -3 Sph L -346 0.75 TRGB 0 35 33.8 + 36 29 52 0.87 90 3 0.0 -8.9 27.1 6.5 5.8 < 5.55 -82 3.2 MESSIER031 3.2 1.75
"And IV" 0 42 32.3 + 40 34 19 1.0 0.77 0.27 "" 17.9 17.2 "" 21.1 14.5 * "" 14.0 90 10 Ir L 237 7.18 TRGB 0 42 32.3 + 40 34 19 2.19 45 56 0.04 -12.4 25.6 7.22 8.9 "" 8.44 503 -1.3 Maffei2 -1.0 -1.46
"And IX" 0 52 52.8 + 43 12 0 4.0 0.99 0.33 "" 22.6 16.6 "" 25.6 12.2 * > 16.3 23 -3 Sph X -216 0.79 TRGB 0 52 52.8 + 43 12 0 1.01 10 15 0.0 -8.2 28.1 6.24 7.42 < 5.6 48 4.0 MESSIER031 4.0 1.75
"And V" 1 10 17.1 + 47 37 41 3.2 0.74 0.54 "" "" 16.3 "" 24.4 11.7 * > 16.3 25 -3 Sph L -403 0.81 TRGB 1 10 17.1 + 47 37 41 0.88 53 4 0.0 -8.8 27.2 6.47 6.27 < 5.62 -143 2.6 MESSIER031 2.6 1.75
"And X" 1 6 33.7 + 44 48 16 2.2 0.9 0.55 > 23.0 18.0 "" 21.9 13.4 * > 16.3 13 -3 Sph X -164 0.63 HB 1 6 33.7 + 44 48 16 0.48 31 5 0.0 -6.6 28.1 5.58 6.11 < 5.4 95 2.2 MESSIER031 2.2 1.75
"And XI" 0 46 20.0 + 33 48 5 1.2 0.81 0.35 "" 21.2 19.0 "" 22.7 14.6 * > 16.3 18 -3 Sph X -419 0.73 RR 0 46 20.0 + 33 48 5 0.28 44 4 0.0 -5.7 27.9 5.22 5.63 < 5.53 -167 2.7 MESSIER031 2.7 1.75
"And XII" 0 47 27.0 + 34 22 29 3.6 0.39 0.49 > 23.0 18.9 > 24.8 14.4 * > 16.3 6 -3 Sph X -556 0.83 TRGB 0 47 27.0 + 34 22 29 0.97 90 3 0.0 -6.2 30.1 5.43 5.85 < 5.64 -303 2.6 MESSIER031 2.6 1.75
"And XIII" 0 51 51.0 + 33 0 16 1.6 0.39 0.35 > 23.0 18.8 > 24.7 14.4 * > 16.3 14 -3 Sph X -195 0.84 RR 0 51 51.0 + 33 0 16 0.42 90 3 0.0 -6.2 28.2 5.42 5.48 < 5.65 53 2.4 MESSIER031 2.4 1.75
"And XIV" 0 51 35.0 + 29 41 49 3.0 0.83 0.26 > 23.0 16.8 "" 22.8 12.5 * > 16.3 12 -3 Sph X -481 0.73 TRGB 0 51 35.0 + 29 41 49 0.69 41 4 0.0 -7.8 27.7 6.07 6.06 < 5.53 -240 2.2 MESSIER031 2.2 1.75
"And XIX" 0 19 32.1 + 35 2 37 28.4 0.42 0.27 > 23.0 15.5 > 24.4 11.2 * "" "" 11 -3 Sph X -111 0.93 TRGB 0 19 32.1 + 35 2 37 8.07 90 3 0.0 -9.6 31.2 6.8 6.77 "" "" 157 1.9 MESSIER031 1.9 1.75
