Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
MCG+09-16-010,17.50,8.0,,,8.0,,,-2.34,-2.05
UGC04998,18.40,9.0,BCD,N,8.71,9.01,7.04,-2.74,-2.55
LVJ0926+3343,18.10,8.0,,,7.29,8.05,7.80,-2.74,-2.39
NGC2915,15.60,9.0,BCD,H,8.74,9.27,8.64,-1.31,-1.16
[CKT2009]d0926+70,22.30,10.0,Tr,L,6.11,,<5.52,<-5.25,-4.30
UGC05047,,7.0,,,8.71,9.35,8.12,-2.22,
KDG056,19.60,10.0,Ir,L,7.44,6.57,7.19,-4.40,-2.99
NGC2903-HI-1,20.80,10.0,Ir,N,6.47,5.97,6.39,-2.97,-3.58
NGC2903,12.60,4.0,,,10.84,11.14,9.47,0.31,0.19
dw0932+1952,>23.00,-1.0,Sph,L,6.92,,,,<-4.50
ESO373-007,19.50,10.0,Ir,L,7.76,8.16,7.69,,-2.73
UGC05086,>23.00,-3.0,Sph,N,8.32,,,-4.63,<-4.45
LSBCD565-09,>23.00,-1.0,Sph,L,7.84,,,,<-4.39
[CKT2009]d0934+70,22.30,-3.0,Sph,X,7.18,,,<-5.07,-4.32
CGCG035-007,17.50,9.0,BCD,N,8.48,8.99,8.17,-1.98,-1.82
LeoT,19.50,10.0,Ir,L,4.94,5.49,5.63,<-5.92,-5.69
LVJ0935-1348,18.60,9.0,BCD,N,7.6,,<7.29,-2.58,-2.58
dw0936+2135,21.40,-1.0,Sph,L,7.58,,,,-3.80
[CKT2009]d0939+71,24.60,10.0,Sph,L,5.6,,,<-5.48,-5.79
LVJ0939-2507,,10.0,Ir,N,7.99,8.1,7.25,-2.20,
KISSB023,17.00,10.0,Ir,N,8.35,8.78,8.28,,-1.37
KUG0937+480,18.30,9.0,Im,N,7.62,,,-2.69,-2.36
KDG058,20.00,10.0,Ir,L,8.19,7.73,8.13,-3.62,-2.32
HolmI,15.00,10.0,Ir,N,8.05,7.97,8.05,-2.21,-1.85
UGC05186,18.40,10.0,Ir,N,7.71,8.05,7.49,-3.90,-2.58
AGC198691,20.10,10.0,Ir,N,6.5,7.09,7.26,-2.92,-3.06
LVJ0944-2254,,9.0,BCD,N,7.69,,<7.41,-2.38,
[CKT2009]d0944+69,>23.00,-3.0,Sph,X,5.88,,,<-5.08,<-4.94
[CKT2009]d0944+71,24.20,-1.0,Sph,L,7.41,,<5.51,<-5.13,-5.72
IC0559,16.70,9.0,BCD,N,8.25,8.81,8.00,-2.12,-1.85
F8D1,>23.00,-3.0,Sph,L,7.54,,<6.20,-4.40,<-4.96
UGC05209,18.20,10.0,Ir,N,7.88,8.48,7.53,-2.96,-2.44
FM1,>23.00,-3.0,Sph,L,7.7,,<6.21,-4.95,<-5.02
NGC2976,13.80,7.0,,,9.44,9.16,8.05,-1.06,-1.33
AGC191803,18.60,9.0,Im,N,8.04,8.32,7.97,,-2.21
KK77,>23.00,-3.0,Sph,L,8.1,,<6.21,-4.95,<-4.78
KK78,18.60,10.0,Ir,N,7.29,6.08,7.73,-2.76,-2.51
DDO064,15.10,10.0,Ir,N,8.41,9.02,8.61,-1.30,-1.12
UGC05288,16.00,9.0,BCD,N,8.85,9.1,8.74,-1.32,-1.34
NGC3037,15.90,8.0,,,8.9,9.49,8.52,-1.06,-1.22
BK3N,19.40,10.0,Ir,N,6.12,5.83,7.29,-5.23,-3.49
LVJ0954+3620,19.80,10.0,Ir,N,7.13,7.43,6.86,,-3.08
KKSG15,18.00,10.0,Ir,N,8.24,8.33,7.77,-2.77,-2.31
[CKT2009]d0955+70,>23.00,-3.0,Sph,X,6.48,,,<-5.24,<-4.85
MESSIER081,11.50,3.0,,,10.95,11.28,9.46,0.00,0.04
JKB83,21.00,10.0,Ir,N,5.63,,,-3.49,-4.24
MESSIER082,12.60,8.0,,,10.59,9.87,8.97,0.21,-0.40
LVJ0956-0929,19.10,9.0,BCD,N,7.95,8.39,6.87,-2.81,-2.70
DDO068C,19.30,10.0,Ir,N,7.53,6.21,7.44,<-3.92,-2.67
DDO068,15.20,10.0,Ir,N,8.4,8.94,8.95,-1.51,-1.04
KDG061,22.40,-1.0,Sph,N,8.11,,,<-4.67,-4.82
KDG61em,19.80,10.0,Ir,N,5.98,,,-3.18,-3.79
PGC154449,18.30,9.0,BCD,N,7.94,,<7.34,,-2.36
ClumpI,>23.00,10.0,Ir,N,5.57,,,<-4.88,<-5.07
A0952+69,18.00,10.0,Ir,L,6.87,8.06,7.02,-3.21,-2.96
HolmIX,15.60,10.0,Ir,N,7.75,8.56,8.45,-2.84,-2.03
PGC28789,17.40,8.0,,,8.05,,,,-2.09
AGC718245,18.90,10.0,Ir,N,7.6,6.64,7.09,,-2.67
[CKT2009]d0958+66,18.80,9.0,BCD,N,7.12,5.96,5.87,-4.27,-3.38
AGC198712,19.30,10.0,Ir,N,6.97,7.23,7.15,,-2.85
LeoA,14.70,10.0,Ir,N,6.86,6.07,6.97,-4.10,-3.29
[CKT2009]d0959+68,19.90,10.0,Ir,L,6.44,,,-4.04,-3.65
KKSG16,>23.00,-3.0,Sph,L,7.85,,<7.03,,<-4.21
SexB,13.90,10.0,Ir,N,7.83,7.97,7.71,-2.88,-2.37
dw1000-0741,23.00,10.0,Ir,L,7.08,,,,-4.37
dw1000-0821,>23.00,9.0,Im,L,7.77,,,,<-4.30
KKH57,>23.00,-3.0,Sph,L,6.97,,<5.46,-5.02,<-5.22
LVJ1000+5022,,9.0,Im,N,7.58,,,-2.55,
LVJ1000+3032,19.80,10.0,Ir,N,7.11,6.02,6.68,-3.53,-3.05
ClumpIII,>23.00,10.0,Ir,L,5.57,,,-4.18,<-5.07
MCG-01-26-009,18.00,10.0,Ir,N,7.85,8.21,7.71,-2.31,-2.32
KKSG17,18.40,10.0,Ir,N,8.19,8.36,7.74,-3.09,-2.40
UGCA193,16.60,7.0,,,8.54,9.59,8.58,-1.84,-1.42
NGC3109,12.00,8.0,,,8.58,9.37,8.38,-1.76,-1.37
NGC3077,14.20,9.0,dEem,N,9.57,9.34,8.80,-1.06,-1.48
GARLAND,17.00,10.0,Ir,X,6.81,,<7.54,-2.17,-2.64
ESO499-038,16.80,10.0,Ir,N,8.27,8.67,8.53,,-1.54
NGC3104,14.60,8.0,,,9.23,9.73,9.04,-0.77,-0.53
Antlia,17.10,10.0,Tr,L,6.5,6.06,5.95,,-3.52
BK5N,23.80,-3.0,Sph,L,7.18,,,-5.13,-5.40
UGC05427,16.40,8.0,,,8.54,8.95,7.87,-1.92,-1.59
KDG063,>23.00,-3.0,Tr,L,8.06,6.72,6.95,-4.14,<-4.98
NGC3115,16.10,-1.0,,,10.95,10.5,8.75,<-4.00,-1.14
UGC05423,17.20,10.0,Ir,N,8.42,8.19,7.86,-1.85,-1.95
d1005+68,>23.00,-2.0,Sph,X,5.92,,,,<-5.05
KDG065,23.20,-3.0,Sph,L,8.39,,,,-4.49
KKSG18,19.40,-1.0,dEn,H,9.27,,,-2.81,-2.83
dw1006-0730,21.70,-1.0,Sph,L,7.49,,,,-3.78
dw1006-0732,21.40,-1.0,Sph,L,7.23,,,,-3.63
dw1006-0730-n2,>23.00,10.0,Ir,L,6.2,,,,<-4.46
[CKT2009]d1006+67,>23.00,-3.0,Sph,X,6.31,,,<-5.33,<-5.06
KDG064,24.10,-3.0,Tr,L,7.99,,,-4.44,-5.51
UGC05456,15.30,9.0,Im,N,8.71,8.66,8.26,-1.26,-1.16
KKH58,16.40,8.0,,,8.67,9.11,8.47,-1.11,-1.20
IKN,>23.00,-3.0,Sph,X,8.42,,<6.20,-4.91,<-5.07
AGC208477,19.60,9.0,BCD,N,6.95,5.87,6.94,,-2.95
PGC1099440,17.40,9.0,BCD,H,8.04,8.85,7.69,,-1.96
[CKT2009]d1009+70,21.10,-1.0,Sph,L,7.9,,,<-4.36,-3.29
SexA,12.90,10.0,Ir,N,7.57,8.44,7.90,-2.33,-1.92
UGC05497,18.00,9.0,BCD,N,7.19,6.11,6.02,>-3.65,-3.22
SexDSph,21.50,-3.0,Sph,X,6.42,5.87,<4.01,,-7.77
[CKT2009]d1014+68,22.10,-1.0,Sph,X,6.12,,<5.69,<-5.08,-4.73
[CKT2009]d1015+69,23.90,-1.0,Sph,X,6.06,,,<-5.19,-5.39
KUG1013+414,18.30,8.0,,,8.32,,,,-2.37
LVJ1017+2922,,9.0,BCD,N,7.71,8.29,7.35,-2.92,
NGC3184,12.50,6.0,,,10.52,10.8,9.28,-0.02,-0.05
LVJ1018+4109,>23.00,-1.0,Sph,L,7.71,,,<-4.25,<-4.28
PGC30114,16.20,8.0,,,8.19,,,-1.45,-1.58
UGC05571,17.20,9.0,Im,L,7.49,8.17,8.09,-2.57,-2.24
HIJASSJ1021+6842,,11.0,Ir,X,,,7.51,-4.13,
HS117,21.70,10.0,Tr,L,6.89,6.25,5.01,-4.82,-4.32
LVJ1021+0054,18.50,10.0,Ir,N,7.21,7.78,7.33,-2.81,-2.58
LeoP,,10.0,Ir,N,5.89,5.37,5.73,-4.27,
AGC731448,18.50,9.0,BCD,N,7.66,7.71,7.35,,-2.51
KKSG19,>23.00,10.0,Ir,L,7.74,7.81,7.87,,<-4.10
NGC3239,13.10,8.0,,,9.74,10.12,9.11,-0.23,-0.18
DDO078,21.90,-3.0,Sph,L,8.37,,,-5.07,-4.82
UGC05672,17.40,8.0,,,8.63,9.11,8.14,-2.14,-2.16
IC2574,12.40,8.0,,,9.06,9.65,9.04,-1.00,-0.80
LVJ1028+4240,18.10,10.0,Ir,N,7.33,,,-3.12,-2.41
[CKT2009]d1028+70,18.20,10.0,BCD,N,7.01,6.08,6.12,-3.64,-3.21
AGC749315,20.00,9.0,BCD,N,6.6,7.01,6.86,-4.04,-3.17
DDO082,16.80,9.0,Im,N,8.39,7.28,6.46,-2.56,-2.60
LVJ1030+0607,18.40,10.0,Ir,N,7.36,6.94,7.16,-3.22,-2.73
AGC731457,18.10,10.0,Ir,N,7.62,7.5,7.21,-2.68,-2.32
NGC3274,14.50,7.0,,,8.83,9.6,8.76,-1.06,-0.94
BK6N,>23.00,-3.0,Sph,L,7.25,,,-5.12,<-5.34
UMaI,>23.00,-3.0,Sph,X,4.87,5.56,<3.80,<-8.28,<-8.36
AGC202248,19.20,10.0,Ir,N,7.98,8.56,7.84,,-2.13
PGC2277751,19.30,9.0,BCD,N,7.45,,,-3.45,-2.75
ESO501-023,14.70,8.0,,,9.2,9.38,8.86,,-0.87
LeG03,,8.0,,,8.16,8.81,8.34,-3.04,
KUG1033+366B,18.50,9.0,Im,N,7.64,,,-2.45,-2.41
NGC3299,16.50,8.0,,,8.96,9.69,8.07,-1.42,-1.63
DDO083,16.40,10.0,Ir,N,8.03,9.2,8.56,-1.86,-1.59
AGC205165,18.90,9.0,Im,N,7.79,7.23,6.87,,-2.62
AGC200499,,9.0,BCD,H,9.5,9.97,9.06,-1.22,
AGC208397,20.90,10.0,Ir,L,6.46,6.96,7.01,,-3.42
UGC05797,17.10,9.0,BCD,N,8.63,8.76,8.00,-2.14,-1.92
LeG04,>23.00,10.0,Tr,L,6.85,,<6.93,,<-4.29
LeG05,20.70,10.0,Tr,N,7.62,6.18,6.31,,-3.39
LeG06,21.20,10.0,Ir,L,7.03,6.3,6.85,<-4.31,-3.55
AGC208399,>23.00,10.0,Ir,L,6.51,7.81,7.41,<-3.41,<-4.32
UGC05812,17.90,8.0,,,8.23,8.53,7.60,,-2.26
[CKT2009]d1041+70,>23.00,-2.0,Sph,X,6.36,,<5.23,<-5.07,<-5.06
FS04,18.70,8.0,,,8.15,7.86,7.46,,-2.56
LeG09,>23.00,-2.0,Sph,L,8.04,,<7.07,,<-4.32
DDO084,14.20,8.0,,,8.84,9.53,8.97,-1.08,-0.80
N3344dw1,>23.00,10.0,Ir,L,5.89,,,<-4.24,<-4.26
NGC3344,12.60,4.0,,,10.33,10.78,9.44,-0.08,-0.13
dw1043+1415,>23.00,-1.0,Sph,L,7.09,,,,<-4.16
LeG10,23.40,10.0,Ir,N,6.65,,<7.09,,-4.47
NGC3351,13.50,3.0,,,10.65,10.81,8.94,-0.18,-0.33
LeG11,>23.00,10.0,Tr,L,6.82,,<7.25,,<-4.28
LeG12,21.10,10.0,Ir,N,6.94,,<7.41,,-3.51
AGC205445,21.70,-1.0,Tr,N,8.53,,,,-3.71
dw1044+1351,>23.00,-1.0,Sph,L,7.17,,,,<-4.21
LeG13,19.70,10.0,Ir,N,7.22,5.95,6.72,<-3.64,-3.04
dw1045+14b,>23.00,10.0,Tr,L,6.33,,,,<-4.30
dw1045+16,>23.00,-2.0,Sph,L,7.51,,,,<-4.31
dw1045+13,>23.00,-2.0,Sph,L,7.12,,,,<-4.29
LeG14,>23.00,-3.0,Sph,L,7.51,,<7.03,,<-4.34
KK93,>23.00,-3.0,Sph,N,7.76,,<7.01,,<-4.36
LeG16,>23.00,-2.0,Tr,L,7.73,,,,<-4.25
NGC3368,14.20,3.0,,,10.83,11.14,9.18,-0.36,-0.54
LeG18,23.20,10.0,Tr,L,7.02,8.02,7.13,,-4.39
LeG19,>23.30,-1.0,Sph,L,7.6,,,<-4.20,<-4.33
KK94,23.10,10.0,Tr,L,7.32,7.96,7.67,,-4.35
dw1047+16,>23.00,10.0,Ir,L,7.01,,,,<-4.31
LeG21,22.70,10.0,Ir,L,6.75,6.07,7.18,,-4.08
NGC3368dwTBG,>23.00,-2.0,Sph,X,7.17,,,,<-4.31
M96-DF7,>23.00,-2.0,Sph,X,7.44,,,,<-4.34
DDO088,16.60,9.0,Im,N,8.55,9.26,8.10,-2.00,-1.74
M96-DF2,>23.00,-2.0,Sph,X,7.05,,,,<-4.30
ESO318-013,16.90,8.0,,,8.18,8.32,8.06,,-2.05
NGC3377,18.10,-2.0,,,10.38,,,-1.79,-2.29
BST1047+1156,21.70,10.0,Ir,X,6.31,6.68,7.60,,-3.78
NGC3379,,-3.0,,,10.92,,,-3.10,
M96-DF1,>23.00,-2.0,Sph,X,7.11,,,,<-4.31
NGC3384,,-1.0,,,10.56,,,<-4.37,
dw1048+13,>23.00,-2.0,Sph,L,7.01,,,,<-4.27
PGC032348,>23.00,-1.0,dE,N,8.94,,<7.18,,<-4.08
UGC05923,17.50,7.0,,,9.35,9.61,8.49,-1.26,-1.35
dw1049+12a,24.20,10.0,Ir,L,6.5,,,,-4.67
dw1049+15,>23.00,10.0,Ir,L,6.81,,,,<-4.31
Willman1,21.20,-2.0,Sph,X,3.72,4.5,<2.96,<-9.07,-8.51
dw1049+12b,>23.00,-2.0,Sph,L,7.34,,,,<-4.28
DDO087,16.50,10.0,Ir,L,8.43,9.21,8.35,-2.37,-1.90
LeG22,>23.00,10.0,Tr,L,7.14,,,,<-4.29
MRK1265,17.50,9.0,BCD,N,7.27,6.95,7.18,,-2.38
AGC740112,24.00,-1.0,Tr,L,7.94,7.52,7.04,,-4.65
UGC05944,23.40,-1.0,dE,N,8.6,,,,-4.38
KK96,23.20,-3.0,Sph,L,8.08,,,,-4.40
NGC3412,18.40,-1.0,,,10.36,,<7.88,-1.44,-2.40
LSBCD640-11,22.90,-1.0,Sph,L,8.39,,,,-4.22
dw1051+11,>23.00,-2.0,Sph,L,7.79,,,,<-4.31
Dw1051+6416,>23.50,-2.0,Sph,L,6.48,,,,<-4.67
NGC3413,15.50,8.0,,,9.34,9.66,8.83,-0.92,-1.04
LeG26,21.60,-2.0,Sph,N,8.38,,<7.40,,-3.77
AGC205540,23.90,10.0,Tr,N,7.14,,<7.53,,-4.65
KKH65,>23.00,-2.0,Sph,L,8.02,,,,<-4.36
AGC205544,>23.00,-1.0,dE,N,8.18,,<7.41,,<-4.32
LVJ1052+3628,19.20,10.0,Ir,N,7.04,,,-3.48,-2.93
UGC05983,20.40,10.0,Ir,N,7.8,,,,-3.39
AGC202456,>23.00,-1.0,dE,N,8.55,,<7.41,,<-4.31
LeG27,22.00,-2.0,Tr,L,7.58,,,,-3.92
NGC3432,13.40,8.0,,,9.64,10.31,9.51,-0.16,-0.01
LVJ1052+3639,16.90,10.0,Ir,N,7.88,,,-1.94,-2.01
KDG073,18.80,10.0,Ir,L,6.6,6.42,6.56,-4.72,-3.56
LeG28,>23.00,10.0,Tr,L,7.01,,,,<-4.30
UGC06014,17.30,9.0,Im,N,8.78,9.15,8.22,-1.95,-1.53
dw1055+11,>23.00,-2.0,Sph,L,7.86,,,,<-4.33
LSBCD640-12,21.70,10.0,Ir,L,6.96,6.03,6.41,,-3.80
LSBCD640-13,17.90,10.0,Ir,N,7.56,7.27,7.63,,-2.29
HS1053+3624,18.30,10.0,Ir,N,7.11,8.04,7.71,-2.58,-2.54
ESO215-009,19.20,10.0,Ir,N,7.78,8.65,8.85,,-2.69
VV747,16.60,10.0,Ir,N,8.02,,,-1.71,-1.85
LSBCD640-14,22.90,-2.0,Sph,L,7.61,,,,-4.30
AGC205278,20.50,10.0,Ir,N,7.51,7.74,7.06,,-3.22
dw1059+11,>23.00,10.0,Ir,L,6.63,,,,<-4.33
NGC3489,16.70,0.0,,,10.53,9.67,7.36,-1.74,-1.62
LeG33,23.80,10.0,Tr,L,6.88,,,,-4.64
LSBCD640-08,23.60,-3.0,Sph,N,8.23,,,,-4.59
dw1101+11,>23.00,10.0,Ir,L,6.43,,,,<-4.33
KDG74,>23.50,-2.0,Sph,L,6.68,,,,<-5.42
SMDG1103517+284120,21.10,10.0,Tr,L,6.86,6.99,7.22,,-3.69
CGCG066-109,17.70,10.0,Ir,N,7.82,8.03,7.64,-2.45,-2.24
KKSG20,22.10,10.0,Ir,N,7.55,6.67,6.14,,-3.93
MRK0036,15.90,9.0,BCD,H,7.59,7.85,7.44,-1.31,-1.60
UGC06145,18.40,10.0,Ir,L,7.83,8.2,7.97,<-3.07,-2.35
NGC3521sat,>23.00,-1.0,Sph,X,8.62,,,,<-4.19
NGC3521,13.50,4.0,,,11.09,11.32,9.65,0.50,0.12
KKSG22,>23.00,10.0,Ir,L,7.32,,<7.18,,<-4.14
NGC3521dwTBG,>23.00,-2.0,Sph,L,8.0,,,,<-4.11
dw1110+0037,21.30,10.0,Ir,N,7.5,,,,-3.52
NGC3556,13.50,6.0,,,10.52,10.52,9.42,-0.04,0.10
Dw1111+1338,>23.50,-2.0,Sph,L,6.87,,,,<-4.48
DDO092,16.10,9.0,Im,N,8.02,8.5,8.32,-1.76,-1.61
LeoII,22.30,-3.0,Sph,L,6.72,6.27,<3.44,,-7.29
NGC3593,17.00,1.0,,,10.43,10.48,8.33,-0.55,-1.55
AGC202256,19.20,10.0,Ir,N,7.36,7.72,7.25,,-2.74
IC2684,19.30,10.0,Tr,N,7.87,6.78,7.16,,-2.83
NGC3621,12.40,7.0,,,10.34,10.72,9.62,0.25,0.10
NGC3623,15.10,2.0,,,11.1,11.29,8.63,,-0.12
AGC215286,21.40,10.0,Tr,L,7.71,7.38,7.26,,-3.57
AGC202257,17.90,10.0,Irr,N,7.8,8.28,8.03,,-2.18
AGC215354,20.90,9.0,BCD,N,7.36,,<7.40,,-3.47
Dw1119+1011,20.40,9.0,BCD,H,7.13,,,,-3.23
PGC034671,19.00,9.0,BCD,N,7.67,,,-3.24,-2.81
NGC3627,12.90,4.0,,,11.08,11.14,9.08,0.43,0.26
NGC3628,14.30,4.0,,,10.96,11.4,9.79,,-0.07
dw1120+1337,24.30,10.0,Tr,L,8.42,,,,-4.78
AGC213436,22.20,-1.0,dE,N,8.36,,,,-3.87
IC2782,22.50,-2.0,dE,N,8.12,,,,-4.12
KKH67,>23.00,-2.0,Sph,X,7.63,,,,<-4.34
IC2787,,9.0,BCD,N,8.26,9.01,7.33,<-4.51,
IC2791,20.00,9.0,Im,N,7.47,6.27,6.67,,-3.15
UGC06456,15.30,10.0,Ir,N,7.66,7.71,7.82,-1.79,-1.89
UGC06451,17.80,9.0,Im,N,6.88,,,,-3.02
AGC213091,21.90,10.0,Ir,N,7.01,,<7.22,,-3.76
KDG078,>23.00,-1.0,Tr,N,8.29,7.03,6.83,<-4.36,<-4.37
KKH68,19.00,10.0,Ir,N,7.56,6.48,7.52,,-2.85
LeoV,>23.00,-3.0,Sph,X,4.46,5.19,<2.59,,<-7.83
HIPASSJ1131-31,19.20,10.0,Ir,L,6.79,6.63,7.35,,-2.97
LeoIV,22.80,-3.0,Sph,X,4.63,5.66,<2.78,<-7.16,-7.86
UGC06541,15.50,10.0,Ir,N,7.83,6.72,7.04,-1.98,-2.11
KKH69,18.40,10.0,Ir,N,7.39,6.16,7.31,,-2.77
NGC3738,13.90,9.0,BCD,N,8.92,9.09,8.06,-1.37,-1.26
NGC3741,15.30,9.0,BCD,N,7.43,8.4,7.93,-2.39,-2.26
Crater,>23.00,-3.0,dE,N,5.05,5.27,<4.11,,<-7.89
ESO320-014,18.80,10.0,Ir,N,7.73,8.02,7.32,,-2.70
[KK98]108,21.90,10.0,Tr,L,6.6,,,,-4.51
UGC06757,18.10,10.0,Ir,N,7.12,,,-3.78,-3.02
KK109,20.70,10.0,Ir,L,6.35,5.81,6.54,-5.39,-4.12
DDO097,17.10,10.0,Ir,N,8.53,9.7,8.42,-1.93,-1.67
LVJ1149+1715,22.10,9.0,BCD,N,6.56,,<6.51,,-4.38
KKH73,>23.00,10.0,Tr,L,7.26,6.97,6.98,<-4.23,<-4.48
DDO099,15.00,10.0,Ir,N,7.42,7.69,7.75,-2.64,-2.28
Grapes,,10.0,Ir,L,6.42,,,-4.10,
PGC3401153,19.20,9.0,BCD,N,7.19,,,-3.71,-2.92
AGC215145,>23.00,10.0,Ir,L,6.52,7.44,7.38,,<-4.52
ESO379-007,,10.0,Ir,L,7.35,7.25,7.54,-3.62,
UGC06881,17.70,10.0,Ir,N,8.38,9.14,8.27,,-1.74
PGC4561602,22.20,-2.0,dEn,N,7.37,,,,-4.54
KDG81,18.40,10.0,Ir,L,7.8,8.32,7.33,,-2.57
MCG+05-28-046,18.10,9.0,Im,N,8.51,9.08,8.21,,-1.62
KDG082,17.80,8.0,,,8.92,9.53,8.08,-1.76,-1.76
NGC3990,,-1.0,,,9.52,,,<-4.10,
LVJ1157+56sat,22.90,10.0,Ir,L,5.73,,,<-3.52,-4.57
LVJ1157+5638,18.50,10.0,Ir,N,7.33,,,>-2.15,-2.67
LVJ1158+1535,20.70,10.0,Ir,N,6.47,,<6.77,,-3.91
BTS76,20.60,10.0,Ir,N,7.53,,,-2.97,-3.17
ESO572-034,,9.0,BCD,H,8.76,8.65,8.30,-1.04,
KUG1157+315,16.70,8.0,,,8.5,8.89,7.99,,-1.46
LVJ1203+4739,18.60,10.0,Ir,N,7.2,,,,-2.79
LVJ1203+3257,21.00,8.0,,,7.35,,,,-3.90
NGC4068,14.50,9.0,Im,N,8.3,8.41,8.08,-1.82,-1.65
NGC4080,16.30,8.0,,,9.36,9.6,8.24,-1.23,-1.12
IC2992,16.70,9.0,BCD,N,8.55,8.52,7.73,-1.77,-1.63
KUG1202+286,17.30,8.0,,,7.76,8.09,7.22,,-2.34
[KK98]121,21.90,-2.0,Sph,L,8.9,,,,-3.94
PGC4310323,20.50,7.0,,,7.05,,,,-3.76
LVJ1205+2813,18.70,8.0,,,7.84,8.7,7.60,,-2.48
PGC4560429,>23.00,-2.0,dE,N,7.22,,,,<-4.89
MAPS1206+31,18.90,8.0,,,7.64,,,-3.17,-3.09
LVJ1207+3133,20.20,8.0,,,7.55,7.85,7.30,,-3.07
UGC07131,17.30,8.0,,,8.59,9.39,8.59,,-1.46
NGC4136,13.70,5.0,,,9.24,9.96,8.52,-1.17,-0.95
MCG+06-27-017,17.40,9.0,Im,N,7.89,,,-3.71,-2.71
NGC4144,14.10,7.0,,,9.25,9.79,8.71,-0.92,-0.81
IC3023,16.80,10.0,Ir,N,8.37,8.52,8.26,,-1.35
MADCASH-2,>23.00,10.0,Tr,L,5.63,,<4.77,,<-5.43
N4258dwC,>23.00,-2.0,Sph,L,7.15,,,,<-4.60
NGC4150,18.30,-1.0,,,10.0,,,-2.02,-2.21
NGC4163,15.50,9.0,Im,N,7.92,7.82,7.17,-2.96,-2.40
[KK98]125,22.00,10.0,Ir,L,7.13,,,,-4.17
KK127,17.40,8.0,,,8.19,8.83,8.34,,-1.65
NGC4190,15.00,9.0,BCD,N,7.9,8.5,7.47,-2.42,-2.22
AGC732009,19.10,10.0,Ir,N,7.76,8.13,7.41,-1.95,-2.34
ESO321-014,17.20,10.0,Ir,N,7.29,6.03,7.25,-3.06,-2.74
UGC07242,16.20,10.0,Ir,N,7.92,8.27,7.69,-2.75,-2.17
Dw1214+2101,23.50,-2.0,Sph,L,6.65,,,,-4.84
Dw1214+2945,21.30,10.0,Tr,N,7.01,,,,-4.03
VCC0114,18.60,10.0,Ir,N,7.64,7.39,7.53,-3.13,-2.78
KDG090,>23.00,-2.0,Tr,L,7.59,,,-5.10,<-5.40
UGC7257,15.20,8.0,,,8.6,9.13,8.62,-1.02,-1.01
NGC4204,14.60,7.0,,,9.12,9.71,8.57,-1.05,-1.11
UGC07267,16.50,8.0,,,8.77,9.4,8.58,-1.71,-1.39
Dw1215+2041,>23.50,10.0,Tr,L,6.51,,,,<-4.83
UGC07271,16.60,7.0,,,8.59,9.53,8.69,-1.45,-1.19
NGC4214,11.70,8.0,,,8.98,9.16,8.46,-0.85,-0.90
MCG+09-20-131,16.80,10.0,Ir,N,7.5,6.7,7.37,-2.84,-2.53
LVJ1215+4732,>23.00,10.0,Ir,L,6.81,,,,<-4.24
VCC0169,21.20,10.0,Ir,L,7.55,6.42,8.04,-3.42,-3.69
IC3077,20.30,9.0,BCD,N,8.16,8.54,6.97,-2.87,-3.31
M106edgeN4217,>23.00,-2.0,Sph,L,7.39,,,,<-4.60
UGC07298,17.50,10.0,Ir,N,7.24,5.95,7.27,-4.25,-2.88
NGC4236,11.90,8.0,,,9.61,10.19,9.14,-0.61,-0.40
LVJ1217+4703,23.80,10.0,Tr,L,7.16,,<6.93,<-4.09,-4.39
UGC07320,18.40,10.0,Ir,N,8.04,8.31,7.54,-2.95,-2.61
NGC4244,12.90,6.0,,,9.52,10.17,9.19,-0.90,-0.50
NGC4242,14.00,7.0,,,9.43,9.86,8.66,-1.08,-0.95
LVJ1217+3231,20.20,9.0,Im,N,7.19,,,,-3.04
UGC7321,16.30,7.0,,,9.56,10.54,9.33,-0.95,-0.23
KKH78,22.80,10.0,Ir,L,6.54,,,<-4.96,-4.95
NGC4248,17.00,8.0,,,8.82,8.9,7.79,-1.92,-2.22
LVJ1218+4655,18.40,8.0,,,7.49,,,-3.79,-2.68
AGC229053,19.90,10.0,Ir,N,7.33,7.72,7.45,,-2.88
KDG098,22.20,-1.0,Tr,N,8.3,,,,-4.11
PGC4555586,21.40,-1.0,Tr,L,7.85,,,,-4.07
IC3104,,9.0,Im,N,8.41,8.01,6.94,-2.34,
BTS116,>23.00,-3.0,dE,N,7.6,,,,<-5.32
NGC4258,12.00,4.0,,,10.92,11.32,9.62,0.44,0.40
KK132,24.50,-1.0,Sph,L,7.31,,,,-5.22
KDG101,22.70,-1.0,Tr,N,8.41,,,-3.92,-4.49
PGC039646,18.30,9.0,BCD,N,7.44,7.57,6.57,-3.22,-3.08
KK133,19.40,10.0,Ir,L,7.04,7.95,6.89,,-3.10
KK134,22.30,-3.0,Sph,N,8.39,,,,-3.87
KK135,18.70,10.0,Ir,L,6.49,,5.97,-3.37,-3.19
d1219+4705,>23.00,-3.0,Sph,L,7.75,,,,<-4.14
IC779,21.50,-1.0,dE,N,9.04,,,,-3.30
PGC213976,22.40,-2.0,Sph,L,7.72,,,,-4.50
VCC0381,18.70,10.0,Ir,L,8.02,7.16,8.23,,-2.25
PGC39764,16.70,-2.0,,,11.01,11.58,8.74,,-1.33
