Name,FUVmag,TType,Tdw1,Tdw2,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
AndV,,-3.0,Sph,L,6.47,6.27,<5.62,-6.30,
DoI,>23.00,-2.0,Sph,L,6.48,,,,<-5.21
AndXV,,-3.0,Sph,L,6.03,5.87,<5.56,<-6.59,
AndII,21.70,-3.0,Sph,L,7.33,6.58,<5.44,-6.63,-6.05
AndXXIV,,-3.0,Sph,X,5.73,6.44,,<-6.60,
PiscesB,19.10,10.0,Ir,L,7.11,7.66,7.47,-3.02,-2.80
PAndAS-55,>23.00,-3.0,dE,N,4.87,,,<-6.33,<-6.40
TriangulumIII,>23.00,-2.0,Sph,X,4.54,,,,<-6.29
PAndAS-56,>23.00,-3.0,dE,H,5.78,,,<-5.71,<-6.47
AndXXII,>23.00,-3.0,Sph,X,5.28,5.51,,-6.12,<-6.37
PAndAS-57,>23.00,-3.0,dE,N,5.03,,,,<-6.40
UGC01056,17.20,9.0,Im,N,8.54,8.18,7.93,-1.66,-1.86
PAndAS-58,>23.00,-3.0,dE,N,5.16,,,,<-6.44
AndXXIII,,-3.0,Sph,X,6.55,6.29,,-6.05,
UGC01085,17.80,9.0,Im,N,7.56,8.07,7.82,,-2.17
UGC01104,16.10,9.0,BCD,N,8.35,8.9,8.02,-2.01,-1.70
AGC112454,,9.0,Im,N,7.81,8.39,8.09,-2.35,
MESSIER033,08.20,6.0,,,9.62,10.34,9.40,-0.35,-0.25
AGC114027,,10.0,Ir,L,7.39,7.08,7.38,-2.85,
KKH6,>23.00,10.0,Ir,N,7.3,7.12,6.92,-3.05,<-3.82
NGC0625,13.90,8.0,,,8.96,9.02,8.00,-1.20,-1.52
NGC628dwB,>22.70,10.0,Ir,L,5.3,,,,<-4.09
NGC0628,12.20,5.0,,,10.6,10.22,9.73,0.23,0.14
NGC628dwA,>22.20,10.0,Tr,N,7.04,,,,<-3.90
dw0137+1607,23.20,-1.0,Sph,L,6.73,,,,-4.39
AGC112503,,9.0,BCD,N,7.27,8.35,6.99,-2.72,
UGC01171,18.80,10.0,Ir,N,7.96,7.52,7.70,-3.60,-2.52
dw0139+1433,20.00,10.0,Irr,N,7.13,,,,-2.99
DDO013,16.00,10.0,Ir,L,8.53,8.68,8.66,-1.57,-1.48
AGC112521,21.10,10.0,Ir,L,6.81,6.55,6.75,-4.20,-3.88
KK13,19.00,10.0,Ir,N,7.57,7.37,7.27,-2.92,-2.74
KDG010,19.80,10.0,Ir,L,7.81,7.85,7.80,-2.54,-3.01
