Name,FUVmag,TType,Tdw1,Tdw2,Bmag,logKLum,logM26,logMHI,log_SFR_Ha,log_SFR_FUV
NGC3299,16.50,8.0,,,13.3,8.96,9.69,8.07,-1.42,-1.63
DDO083,16.40,10.0,Ir,N,15.4,8.03,9.2,8.56,-1.86,-1.59
AGC205165,18.90,9.0,Im,N,16.4,7.79,7.23,6.87,,-2.62
AGC200499,,9.0,BCD,H,14.4,9.5,9.97,9.06,-1.22,
AGC208397,20.90,10.0,Ir,L,19.7,6.46,6.96,7.01,,-3.42
UGC05797,17.10,9.0,BCD,N,14.3,8.63,8.76,8.00,-2.14,-1.92
LeG05,20.70,10.0,Tr,N,16.8,7.62,6.18,6.31,,-3.39
UGC05812,17.90,8.0,,,15.5,8.23,8.53,7.60,,-2.26
FS04,18.70,8.0,,,15.7,8.15,7.86,7.46,,-2.56
DDO084,14.20,8.0,,,13.7,8.84,9.53,8.97,-1.08,-0.80
NGC3344,12.60,4.0,,,10.5,10.33,10.78,9.44,-0.08,-0.13
NGC3351,13.50,3.0,,,10.6,10.65,10.81,8.94,-0.18,-0.33
AGC205445,21.70,-1.0,Tr,N,16.4,8.53,,,,-3.71
NGC3368,14.20,3.0,,,10.1,10.83,11.14,9.18,-0.36,-0.54
LeG18,23.20,10.0,Tr,L,18.2,7.02,8.02,7.13,,-4.39
KK94,23.10,10.0,Tr,L,17.5,7.32,7.96,7.67,,-4.35
LeG21,22.70,10.0,Ir,L,19.2,6.75,6.07,7.18,,-4.08
DDO088,16.60,9.0,Im,N,14.4,8.55,9.26,8.10,-2.00,-1.74
ESO318-013,16.90,8.0,,,15.0,8.18,8.32,8.06,,-2.05
NGC3377,18.10,-2.0,,,11.2,10.38,,,-1.79,-2.29
BST1047+1156,21.70,10.0,Ir,X,20.0,6.31,6.68,7.60,,-3.78
NGC3379,,-3.0,,,10.2,10.92,,,-3.10,
UGC05923,17.50,7.0,,,14.4,9.35,9.61,8.49,-1.26,-1.35
dw1049+12a,24.20,10.0,Ir,L,19.8,6.5,,,,-4.67
DDO087,16.50,10.0,Ir,L,15.2,8.43,9.21,8.35,-2.37,-1.90
MRK1265,17.50,9.0,BCD,N,17.0,7.27,6.95,7.18,,-2.38
AGC740112,24.00,-1.0,Tr,L,17.8,7.94,7.52,7.04,,-4.65
UGC05944,23.40,-1.0,dE,N,15.6,8.6,,,,-4.38
KK96,23.20,-3.0,Sph,L,17.3,8.08,,,,-4.40
LSBCD640-11,22.90,-1.0,Sph,L,16.7,8.39,,,,-4.22
NGC3413,15.50,8.0,,,13.2,9.34,9.66,8.83,-0.92,-1.04
LVJ1052+3628,19.20,10.0,Ir,N,17.9,7.04,,,-3.48,-2.93
UGC05983,20.40,10.0,Ir,N,16.0,7.8,,,,-3.39
LeG27,22.00,-2.0,Tr,L,18.6,7.58,,,,-3.92
NGC3432,13.40,8.0,,,11.7,9.64,10.31,9.51,-0.16,-0.01
LVJ1052+3639,16.90,10.0,Ir,N,15.8,7.88,,,-1.94,-2.01
KDG073,18.80,10.0,Ir,L,17.1,6.6,6.42,6.56,-4.72,-3.56
UGC06014,17.30,9.0,Im,N,15.0,8.78,9.15,8.22,-1.95,-1.53
LSBCD640-12,21.70,10.0,Ir,L,18.4,6.96,6.03,6.41,,-3.80
LSBCD640-13,17.90,10.0,Ir,N,16.9,7.56,7.27,7.63,,-2.29
HS1053+3624,18.30,10.0,Ir,N,17.8,7.11,8.04,7.71,-2.58,-2.54
ESO215-009,19.20,10.0,Ir,N,16.0,7.78,8.65,8.85,,-2.69
VV747,16.60,10.0,Ir,N,15.5,8.02,,,-1.71,-1.85
LSBCD640-14,22.90,-2.0,Sph,L,18.5,7.61,,,,-4.30
AGC205278,20.50,10.0,Ir,N,17.3,7.51,7.74,7.06,,-3.22
NGC3489,16.70,0.0,,,11.1,10.53,9.67,7.36,-1.74,-1.62
LeG33,23.80,10.0,Tr,L,18.6,6.88,,,,-4.64
LSBCD640-08,23.60,-3.0,Sph,N,17.0,8.23,,,,-4.59
SMDG1103517+284120,21.10,10.0,Tr,L,18.3,6.86,6.99,7.22,,-3.69
CGCG066-109,17.70,10.0,Ir,N,16.2,7.82,8.03,7.64,-2.45,-2.24
KKSG20,22.10,10.0,Ir,N,17.0,7.55,6.67,6.14,,-3.93
MRK0036,15.90,9.0,BCD,H,15.6,7.59,7.85,7.44,-1.31,-1.60
NGC3521,13.50,4.0,,,9.8,11.09,11.32,9.65,0.50,0.12
dw1110+0037,21.30,10.0,Ir,N,17.3,7.5,,,,-3.52
NGC3556,13.50,6.0,,,10.7,10.52,10.52,9.42,-0.04,0.10
DDO092,16.10,9.0,Im,N,15.6,8.02,8.5,8.32,-1.76,-1.61
NGC3593,17.00,1.0,,,11.9,10.43,10.48,8.33,-0.55,-1.55
AGC202256,19.20,10.0,Ir,N,17.5,7.36,7.72,7.25,,-2.74
IC2684,19.30,10.0,Tr,N,16.2,7.87,6.78,7.16,,-2.83
NGC3621,12.40,7.0,,,10.2,10.34,10.72,9.62,0.25,0.10
NGC3623,15.10,2.0,,,10.3,11.1,11.29,8.63,,-0.12
AGC215286,21.40,10.0,Tr,L,16.8,7.71,7.38,7.26,,-3.57
AGC202257,17.90,10.0,Irr,N,16.5,7.8,8.28,8.03,,-2.18
Dw1119+1011,20.40,9.0,BCD,H,18.1,7.13,,,,-3.23
PGC034671,19.00,9.0,BCD,N,16.5,7.67,,,-3.24,-2.81
NGC3627,12.90,4.0,,,9.7,11.08,11.14,9.08,0.43,0.26
NGC3628,14.30,4.0,,,10.3,10.96,11.4,9.79,,-0.07
dw1120+1337,24.30,10.0,Tr,L,14.9,8.42,,,,-4.78
AGC213436,22.20,-1.0,dE,N,16.9,8.36,,,,-3.87
IC2782,22.50,-2.0,dE,N,15.0,8.12,,,,-4.12
IC2791,20.00,9.0,Im,N,17.1,7.47,6.27,6.67,,-3.15
UGC06456,15.30,10.0,Ir,N,14.3,7.66,7.71,7.82,-1.79,-1.89
UGC06451,17.80,9.0,Im,N,16.5,6.88,,,,-3.02
KKH68,19.00,10.0,Ir,N,16.6,7.56,6.48,7.52,,-2.85
HIPASSJ1131-31,19.20,10.0,Ir,L,18.2,6.79,6.63,7.35,,-2.97
UGC06541,15.50,10.0,Ir,N,14.4,7.83,6.72,7.04,-1.98,-2.11
KKH69,18.40,10.0,Ir,N,16.6,7.39,6.16,7.31,,-2.77
NGC3738,13.90,9.0,BCD,N,11.9,8.92,9.09,8.06,-1.37,-1.26
NGC3741,15.30,9.0,BCD,N,14.4,7.43,8.4,7.93,-2.39,-2.26
ESO320-014,18.80,10.0,Ir,N,15.9,7.73,8.02,7.32,,-2.70
[KK98]108,21.90,10.0,Tr,L,17.7,6.6,,,,-4.51
UGC06757,18.10,10.0,Ir,N,16.3,7.12,,,-3.78,-3.02
KK109,20.70,10.0,Ir,L,18.1,6.35,5.81,6.54,-5.39,-4.12
DDO097,17.10,10.0,Ir,N,15.1,8.53,9.7,8.42,-1.93,-1.67
DDO099,15.00,10.0,Ir,N,13.7,7.42,7.69,7.75,-2.64,-2.28
Grapes,,10.0,Ir,L,18.5,6.42,,,-4.10,
PGC3401153,19.20,9.0,BCD,N,17.5,7.19,,,-3.71,-2.92
ESO379-007,,10.0,Ir,L,16.6,7.35,7.25,7.54,-3.62,
UGC06881,17.70,10.0,Ir,N,15.9,8.38,9.14,8.27,,-1.74
PGC4561602,22.20,-2.0,dEn,N,17.7,7.37,,,,-4.54
KDG81,18.40,10.0,Ir,L,16.1,7.8,8.32,7.33,,-2.57
MCG+05-28-046,18.10,9.0,Im,N,16.4,8.51,9.08,8.21,,-1.62
KDG082,17.80,8.0,,,14.8,8.92,9.53,8.08,-1.76,-1.76
BTS76,20.60,10.0,Ir,N,17.4,7.53,,,-2.97,-3.17
ESO572-034,,9.0,BCD,H,14.3,8.76,8.65,8.30,-1.04,
KUG1157+315,16.70,8.0,,,15.1,8.5,8.89,7.99,,-1.46
LVJ1203+4739,18.60,10.0,Ir,N,17.2,7.2,,,,-2.79
LVJ1203+3257,21.00,8.0,,,16.7,7.35,,,,-3.90
NGC4068,14.50,9.0,Im,N,13.2,8.3,8.41,8.08,-1.82,-1.65
NGC4080,16.30,8.0,,,13.7,9.36,9.6,8.24,-1.23,-1.12
IC2992,16.70,9.0,BCD,N,15.0,8.55,8.52,7.73,-1.77,-1.63
KUG1202+286,17.30,8.0,,,15.2,7.76,8.09,7.22,,-2.34
[KK98]121,21.90,-2.0,Sph,L,15.2,8.9,,,,-3.94
PGC4310323,20.50,7.0,,,17.6,7.05,,,,-3.76
LVJ1205+2813,18.70,8.0,,,16.7,7.84,8.7,7.60,,-2.48
MAPS1206+31,18.90,8.0,,,15.9,7.64,,,-3.17,-3.09
LVJ1207+3133,20.20,8.0,,,17.5,7.55,7.85,7.30,,-3.07
UGC07131,17.30,8.0,,,15.8,8.59,9.39,8.59,,-1.46
NGC4136,13.70,5.0,,,11.7,9.24,9.96,8.52,-1.17,-0.95
MCG+06-27-017,17.40,9.0,Im,N,15.5,7.89,,,-3.71,-2.71
NGC4144,14.10,7.0,,,12.1,9.25,9.79,8.71,-0.92,-0.81
IC3023,16.80,10.0,Ir,N,16.0,8.37,8.52,8.26,,-1.35
NGC4150,18.30,-1.0,,,12.5,10.0,,,-2.02,-2.21
NGC4163,15.50,9.0,Im,N,13.6,7.92,7.82,7.17,-2.96,-2.40
[KK98]125,22.00,10.0,Ir,L,17.4,7.13,,,,-4.17
KK127,17.40,8.0,,,15.6,8.19,8.83,8.34,,-1.65
NGC4190,15.00,9.0,BCD,N,13.5,7.9,8.5,7.47,-2.42,-2.22
AGC732009,19.10,10.0,Ir,N,17.4,7.76,8.13,7.41,-1.95,-2.34
ESO321-014,17.20,10.0,Ir,N,15.2,7.29,6.03,7.25,-3.06,-2.74
UGC07242,16.20,10.0,Ir,N,14.6,7.92,8.27,7.69,-2.75,-2.17
Dw1214+2101,23.50,-2.0,Sph,L,20.1,6.65,,,,-4.84
Dw1214+2945,21.30,10.0,Tr,N,17.3,7.01,,,,-4.03
VCC0114,18.60,10.0,Ir,N,16.2,7.64,7.39,7.53,-3.13,-2.78
UGC7257,15.20,8.0,,,14.4,8.6,9.13,8.62,-1.02,-1.01
NGC4204,14.60,7.0,,,12.9,9.12,9.71,8.57,-1.05,-1.11
UGC07267,16.50,8.0,,,14.8,8.77,9.4,8.58,-1.71,-1.39
UGC07271,16.60,7.0,,,14.9,8.59,9.53,8.69,-1.45,-1.19
NGC4214,11.70,8.0,,,10.2,8.98,9.16,8.46,-0.85,-0.90
MCG+09-20-131,16.80,10.0,Ir,N,15.3,7.5,6.7,7.37,-2.84,-2.53
VCC0169,21.20,10.0,Ir,L,16.7,7.55,6.42,8.04,-3.42,-3.69
IC3077,20.30,9.0,BCD,N,15.0,8.16,8.54,6.97,-2.87,-3.31
UGC07298,17.50,10.0,Ir,N,16.0,7.24,5.95,7.27,-4.25,-2.88
NGC4236,11.90,8.0,,,10.1,9.61,10.19,9.14,-0.61,-0.40
UGC07320,18.40,10.0,Ir,N,15.4,8.04,8.31,7.54,-2.95,-2.61
NGC4244,12.90,6.0,,,10.9,9.52,10.17,9.19,-0.90,-0.50
NGC4242,14.00,7.0,,,11.6,9.43,9.86,8.66,-1.08,-0.95
LVJ1217+3231,20.20,9.0,Im,N,18.2,7.19,,,,-3.04
UGC7321,16.30,7.0,,,14.1,9.56,10.54,9.33,-0.95,-0.23
NGC4248,17.00,8.0,,,13.1,8.82,8.9,7.79,-1.92,-2.22
LVJ1218+4655,18.40,8.0,,,16.8,7.49,,,-3.79,-2.68
AGC229053,19.90,10.0,Ir,N,17.9,7.33,7.72,7.45,,-2.88
KDG098,22.20,-1.0,Tr,N,16.5,8.3,,,,-4.11
PGC4555586,21.40,-1.0,Tr,L,17.0,7.85,,,,-4.07
IC3104,,9.0,Im,N,13.7,8.41,8.01,6.94,-2.34,
NGC4258,12.00,4.0,,,9.1,10.92,11.32,9.62,0.44,0.40
KK132,24.50,-1.0,Sph,L,18.5,7.31,,,,-5.22
KDG101,22.70,-1.0,Tr,N,15.8,8.41,,,-3.92,-4.49
PGC039646,18.30,9.0,BCD,N,15.7,7.44,7.57,6.57,-3.22,-3.08
KK133,19.40,10.0,Ir,L,17.7,7.04,7.95,6.89,,-3.10
KK134,22.30,-3.0,Sph,N,17.0,8.39,,,,-3.87
KK135,18.70,10.0,Ir,L,18.1,6.49,,5.97,-3.37,-3.19
IC779,21.50,-1.0,dE,N,15.2,9.04,,,,-3.30
PGC213976,22.40,-2.0,Sph,L,17.2,7.72,,,,-4.50
VCC0381,18.70,10.0,Ir,L,16.7,8.02,7.16,8.23,,-2.25
PGC39764,16.70,-2.0,,,11.1,11.01,11.58,8.74,,-1.33
[KKH2011]S11,22.50,-3.0,Sph,L,20.7,6.63,,,,-4.21
NGC4288,14.70,7.0,,,13.3,8.63,9.76,8.63,-1.23,-1.10
CVnHI,24.40,11.0,Ir,X,,,,6.58,,-5.15
VCC0429,19.30,9.0,BCD,,17.2,7.13,7.09,6.57,,-3.13
KUG1218+387,16.90,9.0,BCD,N,15.4,7.86,7.54,7.65,-2.79,-2.19
d1220+4649,23.60,-3.0,Sph,L,19.4,7.02,,,,-4.80
DDO120,16.20,9.0,Im,N,13.6,8.73,8.16,8.04,-4.14,-1.94
PGC1853813,21.00,-2.0,dE,N,16.5,7.44,,,,-3.92
KDG104,20.50,10.0,Ir,L,16.6,7.61,6.39,7.06,,-3.38
KDG105,19.80,10.0,Ir,L,16.7,7.37,7.78,7.35,,-3.30
UGC7427,,10.0,Ir,N,15.9,7.89,7.67,7.76,-2.17,
NGC4308,20.60,-1.0,,,14.1,9.36,,,,-3.08
KKSG27,18.30,9.0,Im,L,17.7,6.88,6.14,7.36,,-2.76
GR34,19.00,10.0,Ir,L,15.9,7.88,6.89,6.97,-3.45,-2.82
VCC0565,19.20,10.0,Ir,N,16.9,7.5,7.07,7.06,-3.34,-2.85
KK141,18.20,10.0,Ir,N,17.5,7.11,6.81,7.26,-2.76,-2.61
PGC40195,21.40,-2.0,dEn,N,15.4,7.74,,,,-4.17
IC3247,18.20,7.0,,,15.3,9.26,9.94,8.52,,-1.28
BTS132,23.60,-3.0,Sph,L,18.4,7.36,,,,-4.86
BTS133,18.60,10.0,Ir,L,17.8,7.05,7.13,7.51,,-2.71
PGC5059199,,10.0,Ir,L,19.8,5.25,7.28,6.06,-4.72,
UGC07485,17.90,9.0,BCD,N,15.0,8.12,7.77,7.12,,-2.51
Dw1224+3938,23.40,10.0,Tr,L,19.0,6.59,,,,-4.61
IC3308,,8.0,,,15.4,8.53,9.31,8.57,-1.84,
KK144,17.30,10.0,Ir,L,16.5,7.24,7.64,7.84,-3.28,-2.50
UGC07512,17.40,10.0,Ir,N,15.2,8.35,8.7,8.36,-2.35,-1.97
VCC0841,19.00,9.0,Im,N,15.7,7.84,7.84,7.01,,-2.91
NGC4395,11.80,8.0,,,10.6,9.47,10.09,9.08,-0.75,-0.47
UGCA281,15.30,10.0,Ir,N,15.1,7.82,8.15,7.77,-1.29,-1.78
DDO126,15.20,10.0,Ir,N,14.1,8.09,8.44,8.03,-2.06,-1.85
DDO125,15.00,9.0,Im,N,13.0,8.06,7.23,7.44,-2.84,-2.32
UGC07584,17.20,9.0,BCD,N,16.2,7.74,7.65,7.78,-2.46,-2.10
KKH80,18.30,10.0,Ir,L,16.8,7.18,6.26,6.95,-4.21,-2.85
NGC4449,11.00,8.0,,,10.0,9.68,9.54,8.65,-0.20,-0.24
DDO127,16.20,10.0,Ir,N,15.0,7.64,8.17,7.67,-3.30,-2.29
UGC07596,18.50,10.0,Ir,N,14.9,7.65,6.95,6.26,-4.06,-3.21
UGC07605,15.90,10.0,Ir,N,14.8,7.71,6.95,7.38,-2.56,-2.18
NGC4455,14.60,7.0,,,12.9,8.74,9.22,8.41,-1.40,-1.25
DDO129,14.90,8.0,,,13.7,8.81,9.08,8.59,-1.47,-1.22
NGC4460,15.70,1.0,,,12.3,9.66,9.31,8.08,-0.76,-1.47
KK149,17.50,10.0,Ir,N,15.0,8.15,8.27,7.73,-2.53,-2.26
UGC07639,16.20,9.0,Im,N,14.1,8.33,8.11,7.62,-2.94,-1.97
UGC07636,19.10,10.0,Ir,N,14.9,7.76,6.63,6.17,,-3.35
UGC07642,17.00,9.0,Im,N,15.3,8.15,7.87,7.73,-2.19,-1.95
KK151,17.30,9.0,Im,N,15.8,7.79,7.61,7.50,-2.77,-2.25
NGC4485,13.70,8.0,,,12.3,8.99,9.7,8.94,-0.70,-0.62
AGC229379,22.00,10.0,Ir,L,18.7,6.55,5.88,6.70,,-4.20
NGC4490,12.20,7.0,,,9.8,10.28,10.14,9.59,0.28,0.08
AGC724906,19.40,10.0,Ir,N,17.4,7.09,6.47,7.02,-4.42,-3.18
CGCG014-054,17.80,9.0,Im,N,15.9,7.89,8.19,7.68,-3.62,-2.33
MAPS1231+42,19.40,10.0,Ir,N,17.8,6.98,5.94,6.51,,-3.09
DDO131,16.50,10.0,Ir,N,15.3,7.9,8.61,7.98,-2.18,-2.03
UGC07678,15.60,9.0,Im,N,13.8,8.24,8.63,8.10,-1.69,-1.50
ComaP,19.40,10.0,Ir,L,18.0,7.18,7.25,8.13,,-2.79
UGC07690,14.90,8.0,,,13.1,8.66,9.2,8.44,-1.40,-1.17
AGC229089,17.90,9.0,Im,N,16.6,7.29,7.24,7.13,,-2.67
dw1232+0015,25.50,-1.0,dE,N,17.9,8.07,,,,-4.84
NGC4517,15.90,7.0,,,11.1,10.27,10.8,9.22,-0.12,-0.68
UGC07699,14.80,7.0,,,13.3,9.19,10.04,9.03,-0.87,-0.46
DDO133,14.80,9.0,Im,L,13.5,8.24,8.73,8.25,-1.99,-1.73
NGC4509,15.20,9.0,BCD,H,14.1,8.72,8.39,7.98,-1.21,-1.26
BTS142,20.20,10.0,Ir,L,18.4,6.9,7.17,7.15,,-3.27
KDG155,20.50,10.0,Ir,L,16.4,7.55,8.26,7.65,,-3.52
KK152,17.50,10.0,Ir,N,16.3,7.74,7.68,7.84,-2.72,-2.18
PGC041749,16.90,9.0,Im,N,16.5,7.67,7.53,8.10,-2.48,-1.95
UGC7719,16.10,8.0,,,15.3,8.21,8.61,8.22,-1.77,-1.69
NGC4534,14.00,8.0,,,13.2,8.82,9.59,9.00,-0.96,-0.73
UGC07748,16.50,9.0,Im,N,16.2,7.68,8.16,7.77,,-1.88
UGC7751,17.70,9.0,Im,N,16.5,7.49,7.9,7.58,-3.09,-2.43
LVJ1235-1104,16.80,10.0,Ir,H,15.7,8.04,8.55,7.44,,-1.80
NGC4559,12.30,6.0,,,10.3,10.2,10.63,9.52,0.14,0.19
UGC07774,16.50,7.0,,,14.6,9.6,10.17,9.36,-1.04,-0.55
VCC1675,17.80,9.0,BCD,N,14.8,8.22,7.74,6.77,-3.14,-2.51
dw1236-0025,21.10,10.0,Irr,L,19.0,6.64,,,,-3.64
IC3583,15.40,9.0,Im,N,13.5,8.8,9.34,8.02,-1.63,-1.24
MAPS1236+33,18.90,10.0,Ir,N,16.9,7.26,6.99,7.08,,-2.97
Dw1237+3304,23.70,-2.0,Sph,N,17.5,8.05,,,,-4.58
IC3591,16.10,9.0,BCD,N,14.4,8.66,8.88,8.24,-1.19,-1.58
AGC220847,18.00,9.0,BCD,N,16.3,7.65,7.92,7.18,,-2.52
KKSG29,18.90,10.0,Ir,L,16.5,7.67,7.55,7.22,,-2.70
Arp211,16.00,10.0,Ir,N,15.7,7.56,6.9,7.29,-2.61,-1.98
VCC1713,17.90,9.0,Im,N,15.9,7.66,6.59,7.08,-3.66,-2.60
KKSG30,19.00,10.0,Ir,N,16.3,7.76,7.72,7.35,,-2.74
VCC1725,16.00,9.0,BCD,N,14.6,8.48,8.63,7.60,-2.10,-1.66
Dw1238+3337,20.90,10.0,Tr,N,17.2,7.52,,,,-3.41
AGC724993,19.30,9.0,Im,N,17.1,7.36,8.07,7.30,,-2.97
UGCA292,16.30,10.0,Ir,L,16.1,6.79,6.88,7.49,-2.48,-2.53
KDG171,19.10,10.0,Irr,L,17.2,7.24,,,,-2.95
dw1239+3230,21.30,10.0,Irr,N,18.6,6.56,,,,-3.97
NGC4592,14.00,8.0,Sdm,,12.2,9.16,10.02,9.45,,-0.39
UGC07827,16.90,10.0,Ir,N,16.0,7.82,8.17,8.15,-1.81,-2.02
KDG177,18.50,10.0,Ir,N,16.4,8.22,7.64,8.33,,-2.04
NGC4594,15.00,1.0,,,9.0,11.32,11.77,8.38,-1.00,-0.51
NGC4605,13.10,8.0,,,10.9,9.7,9.63,8.44,-0.66,-0.77
BTS146,20.40,10.0,Ir,N,17.5,7.14,6.57,6.97,-4.62,-3.44
dw1240-1118,24.40,-3.0,dE,N,16.4,8.33,,,,-4.98
KDG178,18.00,10.0,Ir,L,17.1,7.16,8.2,7.69,-3.51,-2.64
NGC4597,14.40,8.0,,,12.6,9.48,10.07,9.12,-0.75,-0.70
PGC4074723,19.50,10.0,Ir,L,18.2,6.77,,,,-3.20
NGC4631dw1,22.00,10.0,Ir,X,16.7,7.29,,,,-4.26
Dw1241+4103,23.80,10.0,Tr,L,19.1,6.41,,,,-4.91
NGC4618,13.00,6.0,,,11.3,9.62,9.59,8.87,-0.58,-0.54
AGC224291,18.80,9.0,Im,N,16.2,7.63,6.16,6.96,,-2.84
LVJ1241+3251,17.50,10.0,Ir,N,16.0,7.48,6.88,7.06,,-2.58
NGC4625,14.60,7.0,,,13.0,9.56,8.87,8.83,-0.89,-0.84
NGC4627,17.50,-3.0,,,13.0,9.46,,,-4.28,-2.47
NGC4631dw2,22.60,10.0,Ir,X,19.5,6.2,,,,-4.51
NGC4631,11.40,7.0,,,9.8,10.49,10.8,9.72,0.48,0.76
IC3687,14.80,10.0,Ir,N,13.8,8.19,8.68,7.90,-1.89,-1.75
PGC42772,17.40,10.0,Ir,N,16.2,7.6,7.64,7.23,,-2.32
KDG192,17.50,10.0,Ir,L,16.6,7.61,8.63,8.11,-2.42,-2.19
LVJ1243+4127,19.40,10.0,Ir,L,17.2,6.77,6.15,6.82,-4.76,-3.54
KK160,21.40,10.0,Ir,L,17.4,6.6,6.01,6.60,-4.88,-4.43
NGC4656,11.60,8.0,,,11.0,9.93,10.12,9.53,-0.18,0.33
NGC4656UV,13.50,10.0,Ir,N,13.0,8.88,9.31,7.61,-2.31,-0.77
DDO143,15.90,10.0,Ir,L,16.0,7.8,8.45,8.43,-1.63,-1.60
UGC07929,19.90,9.0,Im-,N,16.5,6.96,,,,-3.86
ESO381-020,15.60,10.0,Ir,L,14.4,7.95,8.79,8.37,-1.75,-1.77
AGC227970,18.40,9.0,Im,N,16.0,7.79,7.73,7.52,,-2.60
VCC2033,17.40,9.0,BCD,H,15.3,8.32,6.75,7.01,-2.29,-2.11
VCC2037,17.90,10.0,Ir,N,15.9,7.92,7.4,6.90,-2.54,-2.33
UGCA298,17.80,9.0,BCD,N,15.3,8.43,8.74,7.29,-1.65,-2.23
UGC07950,15.30,9.0,Im,N,14.6,8.36,8.65,8.05,-1.91,-1.41
DDO147,16.10,10.0,Ir,L,15.1,7.19,7.35,7.47,-3.31,-2.64
FGC1497,18.80,8.0,,,16.8,8.4,9.1,8.26,,-1.94
Dw1247-0824,17.80,9.0,BCD,N,15.5,8.08,9.13,,,-2.25
NGC4688,14.80,6.0,Scd,,12.6,8.5,9.05,8.52,,-1.41
KK164,17.40,8.0,Sm,,15.5,7.85,7.97,6.93,,-2.43
NGC4707,15.20,10.0,Ir,N,13.4,8.25,8.95,8.05,-1.90,-1.61
DDO148,17.40,8.0,,,13.7,8.83,8.65,7.82,-2.96,-2.16
NGC4700,14.30,7.0,,,12.6,8.86,9.46,8.43,-1.74,-0.86
MAPS1249+44,18.90,9.0,Im,N,17.1,7.2,7.35,7.06,,-2.95
LVJ1249+2155,18.80,10.0,Ir,N,17.5,7.01,6.93,7.18,,-2.94
UGC07983,18.10,10.0,Ir,N,16.2,7.27,7.03,7.50,,-2.88
UGC07990,,8.0,,,16.2,8.53,9.19,8.40,-2.39,
NGC4736,11.90,2.0,,,8.7,10.56,10.71,8.28,-0.43,-0.53
BTS157,21.20,10.0,Ir,L,17.5,7.22,6.41,6.98,,-3.68
KK167,17.50,10.0,Ir,N,16.4,7.64,7.91,7.68,,-2.25
IC3840,17.70,10.0,Ir,N,16.2,7.41,7.4,7.28,-3.03,-2.62
Dw1252-0904,22.30,10.0,Irr,L,19.5,6.48,,,,-4.05
NGC4765,15.00,9.0,BCD,H,13.4,8.49,8.86,7.96,-1.56,-1.58
PGC3272767,21.60,9.0,BCD,H,19.4,5.93,,,,-4.38
KKSG38,18.00,10.0,Ir,N,17.0,7.55,7.99,7.36,,-2.26
KKSG39,21.90,10.0,Ir,L,18.5,6.57,6.35,7.08,,-4.21
DDO153,15.90,9.0,Im,N,14.6,8.42,8.83,8.64,-1.46,-1.49
DDO154,14.90,10.0,Ir,N,14.1,7.59,8.79,8.28,-2.52,-1.91
UGC08030,18.30,10.0,Ir,L,16.6,8.0,8.57,7.89,,-2.15
ESO443-009,18.40,10.0,Ir,L,17.0,7.11,7.25,7.16,,-2.80
AGC221126,17.60,9.0,Im,N,16.7,7.54,8.73,8.13,,-2.28
UGC08061,18.00,10.0,Ir,N,16.0,8.12,8.67,7.90,-2.44,-2.12
NGC4826,13.90,2.0,,,9.3,10.49,10.7,8.27,-0.64,-1.03
MCG-02-33-075,,8.0,,,14.7,8.48,8.73,7.57,-2.13,
GR8,15.40,10.0,Ir,N,14.8,6.84,7.15,6.92,-2.67,-2.62
HIPASSJ1258-04,16.80,10.0,Ir,N,15.3,7.82,7.81,7.67,-2.45,-2.24
NGC4861,13.60,9.0,Im,N,12.9,9.13,9.38,8.86,-0.25,-0.59
KK176,18.80,10.0,Ir,L,16.5,7.44,7.93,7.81,,-2.90
UGC08105,17.70,9.0,BCD,N,15.7,7.99,8.13,7.82,-1.51,-2.24
PGC1059300,18.10,10.0,Ir,N,16.8,6.69,,,,-3.24
UGCA319,17.20,10.0,Ir,N,15.1,8.02,8.84,7.76,-3.30,-2.29
dw1303+42,20.90,10.0,Ir,L,18.3,6.88,,,,-3.63
DDO161,14.60,8.0,,,13.5,8.74,9.59,8.83,-1.28,-1.05
ESO269-037,19.80,10.0,Ir,N,16.3,6.96,6.23,5.51,-4.40,-3.71
KK182,18.10,10.0,Ir,N,16.3,7.49,7.48,7.65,-3.26,-2.56
NGC4945,,6.0,,,9.3,10.66,11.01,8.91,-0.03,
dw1305+41,21.60,10.0,Ir,L,17.3,7.28,,,,-3.91
IC4182,13.50,8.0,,,12.0,8.7,8.97,8.29,-1.60,-1.28
dw1305+38,21.50,10.0,Ir,L,17.9,7.03,,,,-3.86
DDO165,14.70,9.0,Im,N,13.3,8.23,8.43,8.08,-2.58,-1.66
MCG-03-34-002,16.80,9.0,BCD,N,14.8,8.1,8.44,7.72,-2.35,-1.86
UGC08215,17.70,10.0,Ir,N,16.0,7.18,6.16,7.28,-3.46,-2.95
UGC08245,16.80,9.0,Im,N,14.8,7.78,6.33,7.14,-3.02,-2.46
MCG-04-31-038,16.80,10.0,Ir,N,15.1,8.79,8.43,7.98,,-1.90
ESO269-058,16.70,9.0,Ir,L,13.3,8.86,8.77,7.37,-3.50,-2.38
Dw1311+4051,19.80,10.0,Irr,N,19.1,6.55,,,,-3.18
NGC5023,14.80,7.0,,,12.9,9.01,9.93,8.58,-1.31,-0.96
CGCG217-018,16.70,9.0,BCD,N,14.9,8.19,,,-2.01,-1.95
KKH82,20.50,10.0,Tr,L,15.7,7.77,,,-4.32,-3.61
dw1313+46,19.30,10.0,Ir,L,17.8,6.98,,,,-3.05
